Project ID,Outcome Metric ID,Outcome Pricing,Outcome Definition - (Value),Target Population - (Value),Targeted number of service users Or beneficiaries (total) - (Value),Unit type of targeted Service users or beneficiaries - (Value),Outcome metric target - (Value),Policy sector - (Value),Primary SDG goal - (Value),Secondary SDG goals - (Value),Primary SDG target - (Value),Secondary SDG targets - (Value)
INDIGO-POJ-0169,metric-0169,119.91,Improved outcomes for individuals in criminal justice sector,Disabled persons,388,Individual,232,Criminal justice,SDG 6,SDG 11,Target 9.4,Target 8.2
INDIGO-POJ-0170,metric-0170,391.25,Improved outcomes for households in housing sector,Youth,391,Household,234,Housing,SDG 1,SDG 7,Target 4.3,Target 2.5
INDIGO-POJ-0171,metric-0171,539.78,Improved outcomes for households in criminal justice sector,Disabled persons,376,Household,225,Criminal justice,SDG 13,SDG 13,Target 10.1,Target 6.3
INDIGO-POJ-0172,metric-0172,793.37,Improved outcomes for individuals in health sector,Disabled persons,810,Individual,445,Health,SDG 8,SDG 10,Target 2.2,Target 6.2
INDIGO-POJ-0173,metric-0173,714.97,Improved outcomes for households in criminal justice sector,Disabled persons,254,Household,152,Criminal justice,SDG 6,SDG 16,Target 5.2,Target 3.3
INDIGO-POJ-0174,metric-0174,501.31,Improved outcomes for households in housing sector,Youth,499,Household,299,Housing,SDG 16,SDG 14,Target 8.4,Target 3.1
INDIGO-POJ-0175,metric-0175,346.26,Improved outcomes for individuals in criminal justice sector,Refugees,974,Individual,584,Criminal justice,SDG 17,SDG 4,Target 10.1,Target 5.5
INDIGO-POJ-0176,metric-0176,997.41,Improved outcomes for households in health sector,Women,955,Household,525,Health,SDG 15,SDG 9,Target 6.1,Target 8.1
INDIGO-POJ-0177,metric-0177,483.56,Improved outcomes for households in criminal justice sector,Refugees,751,Household,450,Criminal justice,SDG 5,SDG 7,Target 4.1,Target 10.3
INDIGO-POJ-0178,metric-0178,506.25,Improved outcomes for households in criminal justice sector,Women,349,Household,209,Criminal justice,SDG 4,SDG 5,Target 7.1,Target 5.2
INDIGO-POJ-0179,metric-0179,247.26,Improved outcomes for familys in criminal justice sector,Disabled persons,967,Family,580,Criminal justice,SDG 9,SDG 14,Target 7.4,Target 2.1
INDIGO-POJ-0180,metric-0180,815.33,Improved outcomes for households in health sector,Disabled persons,706,Household,388,Health,SDG 15,SDG 12,Target 2.5,Target 7.2
INDIGO-POJ-0181,metric-0181,724.31,Improved outcomes for individuals in criminal justice sector,Youth,361,Individual,216,Criminal justice,SDG 16,SDG 11,Target 1.1,Target 2.4
INDIGO-POJ-0182,metric-0182,298.69,Improved outcomes for households in education sector,Women,605,Household,393,Education,SDG 9,SDG 3,Target 6.3,Target 2.3
INDIGO-POJ-0183,metric-0183,174.14,Improved outcomes for households in health sector,Disabled persons,208,Household,114,Health,SDG 7,SDG 16,Target 2.2,Target 10.2
INDIGO-POJ-0184,metric-0184,712.45,Improved outcomes for familys in health sector,Refugees,340,Family,186,Health,SDG 8,SDG 13,Target 2.1,Target 2.3
INDIGO-POJ-0188,metric-0188,689.06,Improved outcomes for households in criminal justice sector,Disabled persons,288,Household,172,Criminal justice,SDG 6,SDG 15,Target 6.2,Target 3.4
INDIGO-POJ-0189,metric-0189,345.93,Improved outcomes for familys in employment and training sector,Refugees,227,Family,136,Employment and training,SDG 5,SDG 8,Target 5.1,Target 4.5
INDIGO-POJ-0190,metric-0190,955.78,Improved outcomes for households in employment and training sector,Disabled persons,808,Household,484,Employment and training,SDG 2,SDG 8,Target 8.4,Target 2.2
INDIGO-POJ-0191,metric-0191,235.95,Improved outcomes for households in employment and training sector,Youth,420,Household,252,Employment and training,SDG 6,SDG 16,Target 2.1,Target 10.1
INDIGO-POJ-0192,metric-0192,489.1,Improved outcomes for familys in housing sector,Refugees,517,Family,310,Housing,SDG 13,SDG 3,Target 9.5,Target 10.2
INDIGO-POJ-0193,metric-0193,949.25,Improved outcomes for individuals in criminal justice sector,Youth,318,Individual,190,Criminal justice,SDG 3,SDG 10,Target 7.2,Target 1.2
INDIGO-POJ-0194,metric-0194,477.75,Improved outcomes for individuals in education sector,Refugees,580,Individual,377,Education,SDG 1,SDG 6,Target 8.3,Target 9.5
INDIGO-POJ-0195,metric-0195,674.67,Improved outcomes for individuals in employment and training sector,Disabled persons,568,Individual,340,Employment and training,SDG 17,SDG 3,Target 5.5,Target 2.4
INDIGO-POJ-0196,metric-0196,457.83,Improved outcomes for households in health sector,Women,683,Household,375,Health,SDG 4,SDG 8,Target 9.1,Target 1.1
INDIGO-POJ-0197,metric-0197,346.79,Improved outcomes for familys in education sector,Refugees,714,Family,464,Education,SDG 11,SDG 8,Target 7.3,Target 5.1
INDIGO-POJ-0198,metric-0198,985.58,Improved outcomes for households in housing sector,Youth,405,Household,243,Housing,SDG 10,SDG 10,Target 6.1,Target 9.4
INDIGO-POJ-0199,metric-0199,468.4,Improved outcomes for familys in education sector,Refugees,910,Family,591,Education,SDG 8,SDG 5,Target 1.4,Target 1.2
INDIGO-POJ-0200,metric-0200,904.69,Improved outcomes for households in education sector,Refugees,244,Household,158,Education,SDG 17,SDG 8,Target 7.4,Target 1.2
INDIGO-POJ-0201,metric-0201,306.96,Improved outcomes for individuals in criminal justice sector,Disabled persons,333,Individual,199,Criminal justice,SDG 5,SDG 13,Target 2.5,Target 10.1
INDIGO-POJ-0202,metric-0202,291.79,Improved outcomes for households in housing sector,Youth,308,Household,184,Housing,SDG 9,SDG 8,Target 2.2,Target 3.5
INDIGO-POJ-0203,metric-0203,128.02,Improved outcomes for households in education sector,Women,511,Household,332,Education,SDG 15,SDG 10,Target 8.3,Target 2.1
INDIGO-POJ-0204,metric-0204,686.5,Improved outcomes for familys in employment and training sector,Youth,663,Family,397,Employment and training,SDG 13,SDG 17,Target 1.3,Target 5.2
INDIGO-POJ-0205,metric-0205,431.67,Improved outcomes for familys in health sector,Refugees,222,Family,122,Health,SDG 8,SDG 5,Target 4.4,Target 6.1
INDIGO-POJ-0206,metric-0206,877.92,Improved outcomes for familys in health sector,Disabled persons,230,Family,126,Health,SDG 2,SDG 15,Target 1.2,Target 10.4
INDIGO-POJ-0207,metric-0207,525.89,Improved outcomes for households in housing sector,Refugees,621,Household,372,Housing,SDG 5,SDG 2,Target 10.5,Target 10.2
INDIGO-POJ-0209,metric-0209,971.37,Improved outcomes for familys in education sector,Disabled persons,1000,Family,650,Education,SDG 17,SDG 8,Target 9.1,Target 7.3
INDIGO-POJ-0210,metric-0210,266.97,Improved outcomes for familys in education sector,Youth,742,Family,482,Education,SDG 1,SDG 11,Target 10.2,Target 1.3
INDIGO-POJ-0211,metric-0211,881.76,Improved outcomes for familys in criminal justice sector,Women,806,Family,483,Criminal justice,SDG 2,SDG 8,Target 10.4,Target 6.2
INDIGO-POJ-0212,metric-0212,798.94,Improved outcomes for households in criminal justice sector,Youth,257,Household,154,Criminal justice,SDG 7,SDG 16,Target 9.3,Target 3.4
INDIGO-POJ-0213,metric-0213,793.83,Improved outcomes for familys in education sector,Women,738,Family,479,Education,SDG 11,SDG 6,Target 6.1,Target 1.2
INDIGO-POJ-0214,metric-0214,860.3,Improved outcomes for households in employment and training sector,Refugees,924,Household,554,Employment and training,SDG 10,SDG 11,Target 3.2,Target 7.4
INDIGO-POJ-0215,metric-0215,784.92,Improved outcomes for familys in employment and training sector,Youth,816,Family,489,Employment and training,SDG 5,SDG 6,Target 1.5,Target 7.5
INDIGO-POJ-0216,metric-0216,663.6,Improved outcomes for households in health sector,Disabled persons,471,Household,259,Health,SDG 8,SDG 12,Target 6.2,Target 2.3
INDIGO-POJ-0217,metric-0217,218.12,Improved outcomes for individuals in health sector,Disabled persons,759,Individual,417,Health,SDG 13,SDG 15,Target 7.2,Target 7.4
INDIGO-POJ-0218,metric-0218,129.27,Improved outcomes for households in housing sector,Youth,550,Household,330,Housing,SDG 3,SDG 2,Target 5.1,Target 6.3
INDIGO-POJ-0219,metric-0219,928.76,Improved outcomes for households in criminal justice sector,Women,303,Household,181,Criminal justice,SDG 16,SDG 1,Target 7.2,Target 10.4
INDIGO-POJ-0220,metric-0220,654.99,Improved outcomes for individuals in employment and training sector,Disabled persons,255,Individual,153,Employment and training,SDG 10,SDG 8,Target 2.1,Target 7.5
INDIGO-POJ-0221,metric-0221,816.88,Improved outcomes for familys in education sector,Disabled persons,515,Family,334,Education,SDG 4,SDG 1,Target 4.2,Target 5.1
INDIGO-POJ-0222,metric-0222,533.37,Improved outcomes for households in education sector,Refugees,676,Household,439,Education,SDG 12,SDG 13,Target 6.2,Target 8.1
INDIGO-POJ-0223,metric-0223,205.58,Improved outcomes for households in health sector,Disabled persons,628,Household,345,Health,SDG 12,SDG 14,Target 10.2,Target 9.1
INDIGO-POJ-0224,metric-0224,212.67,Improved outcomes for familys in housing sector,Women,975,Family,585,Housing,SDG 2,SDG 17,Target 10.5,Target 10.5
INDIGO-POJ-0225,metric-0225,717.01,Improved outcomes for familys in health sector,Refugees,944,Family,519,Health,SDG 14,SDG 3,Target 7.2,Target 3.5
INDIGO-POJ-0226,metric-0226,487.28,Improved outcomes for familys in criminal justice sector,Youth,353,Family,211,Criminal justice,SDG 15,SDG 1,Target 10.5,Target 9.4
INDIGO-POJ-0227,metric-0227,280.47,Improved outcomes for familys in housing sector,Youth,482,Family,289,Housing,SDG 9,SDG 13,Target 8.5,Target 10.4
INDIGO-POJ-0228,metric-0228,542.44,Improved outcomes for familys in housing sector,Youth,510,Family,306,Housing,SDG 11,SDG 8,Target 1.4,Target 5.3
INDIGO-POJ-0229,metric-0229,157.79,Improved outcomes for individuals in education sector,Youth,652,Individual,423,Education,SDG 10,SDG 15,Target 6.3,Target 7.5
INDIGO-POJ-0231,metric-0231,623.77,Improved outcomes for households in health sector,Youth,397,Household,218,Health,SDG 10,SDG 17,Target 7.2,Target 9.5
INDIGO-POJ-0232,metric-0232,342.09,Improved outcomes for individuals in employment and training sector,Women,700,Individual,420,Employment and training,SDG 12,SDG 15,Target 9.4,Target 2.1
INDIGO-POJ-0233,metric-0233,817.8,Improved outcomes for familys in employment and training sector,Youth,785,Family,471,Employment and training,SDG 6,SDG 9,Target 2.3,Target 1.4
INDIGO-POJ-0234,metric-0234,379.33,Improved outcomes for households in housing sector,Youth,458,Household,274,Housing,SDG 17,SDG 1,Target 1.4,Target 3.2
INDIGO-POJ-0235,metric-0235,509.7,Improved outcomes for individuals in housing sector,Disabled persons,304,Individual,182,Housing,SDG 12,SDG 15,Target 5.2,Target 8.3
INDIGO-POJ-0236,metric-0236,110.46,Improved outcomes for households in health sector,Refugees,928,Household,510,Health,SDG 16,SDG 3,Target 6.3,Target 6.3
INDIGO-POJ-0237,metric-0237,165.2,Improved outcomes for individuals in employment and training sector,Disabled persons,954,Individual,572,Employment and training,SDG 5,SDG 1,Target 8.3,Target 5.4
INDIGO-POJ-0238,metric-0238,453.24,Improved outcomes for familys in employment and training sector,Youth,331,Family,198,Employment and training,SDG 17,SDG 10,Target 3.5,Target 3.3
INDIGO-POJ-0239,metric-0239,531.94,Improved outcomes for individuals in education sector,Refugees,501,Individual,325,Education,SDG 12,SDG 8,Target 5.4,Target 6.3
INDIGO-POJ-0240,metric-0240,640.02,Improved outcomes for familys in housing sector,Disabled persons,354,Family,212,Housing,SDG 7,SDG 17,Target 2.4,Target 9.3
INDIGO-POJ-0241,metric-0241,362.5,Improved outcomes for individuals in education sector,Youth,480,Individual,312,Education,SDG 3,SDG 16,Target 6.2,Target 6.1
INDIGO-POJ-0242,metric-0242,725.48,Improved outcomes for individuals in criminal justice sector,Youth,746,Individual,447,Criminal justice,SDG 14,SDG 14,Target 7.4,Target 8.4
INDIGO-POJ-0243,metric-0243,874.11,Improved outcomes for familys in health sector,Disabled persons,802,Family,441,Health,SDG 8,SDG 8,Target 6.3,Target 3.1
INDIGO-POJ-0244,metric-0244,801.87,Improved outcomes for individuals in criminal justice sector,Refugees,368,Individual,220,Criminal justice,SDG 17,SDG 11,Target 7.2,Target 6.4
INDIGO-POJ-0245,metric-0245,135.66,Improved outcomes for households in health sector,Youth,249,Household,136,Health,SDG 12,SDG 2,Target 7.3,Target 9.5
INDIGO-POJ-0246,metric-0246,532.46,Improved outcomes for familys in housing sector,Women,902,Family,541,Housing,SDG 13,SDG 4,Target 9.3,Target 8.2
INDIGO-POJ-0247,metric-0247,194.44,Improved outcomes for households in criminal justice sector,Refugees,308,Household,184,Criminal justice,SDG 5,SDG 14,Target 2.5,Target 10.1
INDIGO-POJ-0248,metric-0248,317.84,Improved outcomes for households in housing sector,Disabled persons,440,Household,264,Housing,SDG 10,SDG 6,Target 1.5,Target 8.2
INDIGO-POJ-0249,metric-0249,988.0,Improved outcomes for households in health sector,Refugees,675,Household,371,Health,SDG 17,SDG 3,Target 2.3,Target 4.4
INDIGO-POJ-0250,metric-0250,228.25,Improved outcomes for households in housing sector,Refugees,648,Household,388,Housing,SDG 4,SDG 4,Target 1.1,Target 3.2
INDIGO-POJ-0251,metric-0251,549.0,Improved outcomes for households in health sector,Disabled persons,370,Household,203,Health,SDG 13,SDG 13,Target 8.3,Target 7.4
INDIGO-POJ-0252,metric-0252,656.34,Improved outcomes for individuals in criminal justice sector,Youth,944,Individual,566,Criminal justice,SDG 16,SDG 15,Target 3.5,Target 7.3
INDIGO-POJ-0253,metric-0253,732.22,Improved outcomes for individuals in health sector,Women,546,Individual,300,Health,SDG 9,SDG 11,Target 1.5,Target 10.5
INDIGO-POJ-0254,metric-0254,603.68,Improved outcomes for individuals in education sector,Women,969,Individual,629,Education,SDG 2,SDG 1,Target 3.5,Target 8.4
INDIGO-POJ-0259,metric-0259,108.79,Improved outcomes for familys in criminal justice sector,Disabled persons,710,Family,426,Criminal justice,SDG 13,SDG 13,Target 4.1,Target 8.4
INDIGO-POJ-0260,metric-0260,393.82,Improved outcomes for familys in housing sector,Refugees,775,Family,465,Housing,SDG 14,SDG 2,Target 9.5,Target 1.1
INDIGO-POJ-0261,metric-0261,565.94,Improved outcomes for individuals in employment and training sector,Youth,563,Individual,337,Employment and training,SDG 16,SDG 12,Target 8.1,Target 2.2
INDIGO-POJ-0262,metric-0262,179.08,Improved outcomes for individuals in education sector,Women,323,Individual,209,Education,SDG 16,SDG 5,Target 7.1,Target 5.5
INDIGO-POJ-0263,metric-0263,415.56,Improved outcomes for familys in health sector,Disabled persons,743,Family,408,Health,SDG 4,SDG 15,Target 8.5,Target 9.2
INDIGO-POJ-0264,metric-0264,129.88,Improved outcomes for familys in criminal justice sector,Refugees,593,Family,355,Criminal justice,SDG 6,SDG 5,Target 2.4,Target 10.5
INDIGO-POJ-0265,metric-0265,170.72,Improved outcomes for households in education sector,Women,414,Household,269,Education,SDG 14,SDG 17,Target 5.5,Target 6.5
INDIGO-POJ-0266,metric-0266,457.23,Improved outcomes for individuals in health sector,Refugees,213,Individual,117,Health,SDG 12,SDG 16,Target 10.5,Target 7.5
INDIGO-POJ-0267,metric-0267,219.44,Improved outcomes for individuals in employment and training sector,Women,233,Individual,139,Employment and training,SDG 6,SDG 10,Target 5.2,Target 1.3
INDIGO-POJ-0268,metric-0268,610.79,Improved outcomes for familys in education sector,Refugees,255,Family,165,Education,SDG 17,SDG 10,Target 1.4,Target 7.4
INDIGO-POJ-0269,metric-0269,720.52,Improved outcomes for familys in education sector,Youth,241,Family,156,Education,SDG 10,SDG 15,Target 3.1,Target 3.2
INDIGO-POJ-0270,metric-0270,820.53,Improved outcomes for individuals in health sector,Youth,830,Individual,456,Health,SDG 11,SDG 15,Target 3.1,Target 3.3
INDIGO-POJ-0271,metric-0271,280.14,Improved outcomes for households in employment and training sector,Women,756,Household,453,Employment and training,SDG 17,SDG 8,Target 3.5,Target 2.5
INDIGO-POJ-0272,metric-0272,250.73,Improved outcomes for familys in employment and training sector,Youth,884,Family,530,Employment and training,SDG 10,SDG 7,Target 10.5,Target 8.5
INDIGO-POJ-0273,metric-0273,194.11,Improved outcomes for households in health sector,Refugees,729,Household,400,Health,SDG 11,SDG 13,Target 2.4,Target 5.5
INDIGO-POJ-0274,metric-0274,672.79,Improved outcomes for individuals in employment and training sector,Youth,267,Individual,160,Employment and training,SDG 7,SDG 11,Target 9.1,Target 2.2
INDIGO-POJ-0275,metric-0275,735.83,Improved outcomes for households in health sector,Youth,382,Household,210,Health,SDG 5,SDG 1,Target 8.3,Target 1.1
INDIGO-POJ-0276,metric-0276,128.43,Improved outcomes for individuals in housing sector,Youth,937,Individual,562,Housing,SDG 13,SDG 14,Target 6.1,Target 7.1
INDIGO-POJ-0280,metric-0280,942.59,Improved outcomes for households in criminal justice sector,Disabled persons,604,Household,362,Criminal justice,SDG 4,SDG 10,Target 5.5,Target 2.3
INDIGO-POJ-0281,metric-0281,146.77,Improved outcomes for familys in criminal justice sector,Women,242,Family,145,Criminal justice,SDG 10,SDG 5,Target 5.3,Target 1.5
INDIGO-POJ-0282,metric-0282,587.17,Improved outcomes for familys in education sector,Refugees,317,Family,206,Education,SDG 14,SDG 17,Target 3.2,Target 3.2
INDIGO-POJ-0283,metric-0283,738.15,Improved outcomes for individuals in employment and training sector,Refugees,331,Individual,198,Employment and training,SDG 3,SDG 9,Target 2.2,Target 10.4
INDIGO-POJ-0284,metric-0284,883.87,Improved outcomes for familys in housing sector,Refugees,638,Family,382,Housing,SDG 15,SDG 11,Target 10.3,Target 10.2
INDIGO-POJ-0285,metric-0285,742.68,Improved outcomes for households in employment and training sector,Refugees,764,Household,458,Employment and training,SDG 5,SDG 11,Target 8.4,Target 8.3
INDIGO-POJ-0286,metric-0286,821.56,Improved outcomes for households in employment and training sector,Disabled persons,417,Household,250,Employment and training,SDG 3,SDG 3,Target 1.5,Target 1.5
INDIGO-POJ-0287,metric-0287,405.51,Improved outcomes for households in housing sector,Youth,572,Household,343,Housing,SDG 8,SDG 10,Target 3.4,Target 9.5
INDIGO-POJ-0288,metric-0288,833.34,Improved outcomes for individuals in housing sector,Refugees,424,Individual,254,Housing,SDG 6,SDG 6,Target 10.5,Target 3.4
INDIGO-POJ-0289,metric-0289,172.1,Improved outcomes for households in education sector,Youth,531,Household,345,Education,SDG 17,SDG 12,Target 7.4,Target 8.1
INDIGO-POJ-0290,metric-0290,905.33,Improved outcomes for households in housing sector,Disabled persons,728,Household,436,Housing,SDG 13,SDG 12,Target 10.1,Target 9.3
INDIGO-POJ-0291,metric-0291,592.83,Improved outcomes for familys in criminal justice sector,Refugees,353,Family,211,Criminal justice,SDG 5,SDG 15,Target 3.2,Target 2.5
INDIGO-POJ-0295,metric-0295,835.57,Improved outcomes for individuals in employment and training sector,Women,620,Individual,372,Employment and training,SDG 4,SDG 16,Target 8.4,Target 4.5
INDIGO-POJ-0299,metric-0299,507.09,Improved outcomes for households in criminal justice sector,Disabled persons,777,Household,466,Criminal justice,SDG 2,SDG 5,Target 1.2,Target 5.2
INDIGO-POJ-0300,metric-0300,679.22,Improved outcomes for households in housing sector,Women,985,Household,591,Housing,SDG 16,SDG 16,Target 3.2,Target 7.5
INDIGO-POJ-0301,metric-0301,573.76,Improved outcomes for familys in education sector,Disabled persons,820,Family,533,Education,SDG 13,SDG 13,Target 3.1,Target 1.2
INDIGO-POJ-0302,metric-0302,758.43,Improved outcomes for individuals in health sector,Disabled persons,244,Individual,134,Health,SDG 16,SDG 5,Target 10.5,Target 1.4
INDIGO-POJ-0304,metric-0304,173.47,Improved outcomes for individuals in housing sector,Disabled persons,393,Individual,235,Housing,SDG 5,SDG 9,Target 8.2,Target 2.3
INDIGO-POJ-0305,metric-0305,154.32,Improved outcomes for familys in education sector,Refugees,748,Family,486,Education,SDG 11,SDG 14,Target 6.1,Target 3.4
INDIGO-POJ-0306,metric-0306,322.39,Improved outcomes for familys in criminal justice sector,Refugees,791,Family,474,Criminal justice,SDG 16,SDG 6,Target 6.5,Target 9.4
INDIGO-POJ-0308,metric-0308,243.59,Improved outcomes for familys in education sector,Youth,598,Family,388,Education,SDG 4,SDG 7,Target 9.4,Target 6.5
INDIGO-POJ-0309,metric-0309,884.61,Improved outcomes for familys in health sector,Youth,593,Family,326,Health,SDG 3,SDG 9,Target 4.3,Target 2.5
INDIGO-POJ-0311,metric-0311,297.29,Improved outcomes for individuals in housing sector,Women,373,Individual,223,Housing,SDG 1,SDG 7,Target 9.3,Target 4.1
INDIGO-POJ-0312,metric-0312,978.28,Improved outcomes for individuals in employment and training sector,Youth,920,Individual,552,Employment and training,SDG 13,SDG 12,Target 7.4,Target 10.2
INDIGO-POJ-0313,metric-0313,403.21,Improved outcomes for households in employment and training sector,Refugees,616,Household,369,Employment and training,SDG 8,SDG 7,Target 8.4,Target 10.1
INDIGO-POJ-0314,metric-0314,263.91,Improved outcomes for households in criminal justice sector,Women,994,Household,596,Criminal justice,SDG 9,SDG 9,Target 8.4,Target 10.4
INDIGO-POJ-0315,metric-0315,810.73,Improved outcomes for households in health sector,Youth,469,Household,257,Health,SDG 13,SDG 8,Target 4.3,Target 7.3
INDIGO-POJ-0316,metric-0316,692.84,Improved outcomes for individuals in housing sector,Women,954,Individual,572,Housing,SDG 11,SDG 12,Target 4.5,Target 5.2
INDIGO-POJ-0317,metric-0317,548.38,Improved outcomes for households in education sector,Youth,243,Household,157,Education,SDG 12,SDG 5,Target 2.1,Target 2.4
INDIGO-POJ-0318,metric-0318,599.83,Improved outcomes for households in education sector,Youth,633,Household,411,Education,SDG 17,SDG 9,Target 7.2,Target 10.2
INDIGO-POJ-0319,metric-0319,747.28,Improved outcomes for familys in health sector,Disabled persons,303,Family,166,Health,SDG 17,SDG 15,Target 6.1,Target 1.2
INDIGO-POJ-0320,metric-0320,305.61,Improved outcomes for individuals in education sector,Disabled persons,415,Individual,269,Education,SDG 9,SDG 16,Target 10.3,Target 6.2
INDIGO-POJ-0321,metric-0321,996.7,Improved outcomes for familys in criminal justice sector,Disabled persons,400,Family,240,Criminal justice,SDG 5,SDG 8,Target 2.3,Target 4.5
INDIGO-POJ-0323,metric-0323,977.31,Improved outcomes for households in education sector,Youth,301,Household,195,Education,SDG 17,SDG 11,Target 8.3,Target 5.5
INDIGO-POJ-0324,metric-0324,685.29,Improved outcomes for individuals in employment and training sector,Refugees,621,Individual,372,Employment and training,SDG 9,SDG 12,Target 6.5,Target 9.3
INDIGO-POJ-0325,metric-0325,279.59,Improved outcomes for familys in employment and training sector,Disabled persons,493,Family,295,Employment and training,SDG 12,SDG 11,Target 9.4,Target 8.1
INDIGO-POJ-0326,metric-0326,712.21,Improved outcomes for households in health sector,Refugees,473,Household,260,Health,SDG 3,SDG 6,Target 6.2,Target 6.3
INDIGO-POJ-0327,metric-0327,164.98,Improved outcomes for households in housing sector,Youth,370,Household,222,Housing,SDG 6,SDG 6,Target 1.2,Target 4.3
INDIGO-POJ-0328,metric-0328,127.59,Improved outcomes for individuals in housing sector,Youth,599,Individual,359,Housing,SDG 17,SDG 3,Target 2.3,Target 10.2
INDIGO-POJ-0329,metric-0329,331.91,Improved outcomes for familys in criminal justice sector,Disabled persons,478,Family,286,Criminal justice,SDG 6,SDG 1,Target 1.3,Target 6.4
INDIGO-POJ-0330,metric-0330,516.36,Improved outcomes for households in criminal justice sector,Women,652,Household,391,Criminal justice,SDG 14,SDG 17,Target 9.3,Target 6.4
INDIGO-POJ-0331,metric-0331,881.45,Improved outcomes for households in criminal justice sector,Disabled persons,506,Household,303,Criminal justice,SDG 5,SDG 12,Target 5.4,Target 9.1
INDIGO-POJ-0332,metric-0332,754.45,Improved outcomes for individuals in education sector,Disabled persons,469,Individual,304,Education,SDG 14,SDG 14,Target 7.2,Target 3.4
INDIGO-POJ-0333,metric-0333,768.44,Improved outcomes for individuals in criminal justice sector,Refugees,852,Individual,511,Criminal justice,SDG 9,SDG 14,Target 4.1,Target 3.2
INDIGO-POJ-0334,metric-0334,482.94,Improved outcomes for individuals in health sector,Refugees,328,Individual,180,Health,SDG 5,SDG 2,Target 9.1,Target 3.1
INDIGO-POJ-0335,metric-0335,411.34,Improved outcomes for households in housing sector,Disabled persons,232,Household,139,Housing,SDG 7,SDG 11,Target 7.3,Target 8.3
INDIGO-POJ-0336,metric-0336,433.93,Improved outcomes for households in health sector,Youth,454,Household,249,Health,SDG 16,SDG 6,Target 4.3,Target 7.1
INDIGO-POJ-0337,metric-0337,988.88,Improved outcomes for familys in criminal justice sector,Youth,762,Family,457,Criminal justice,SDG 7,SDG 16,Target 7.3,Target 6.2
INDIGO-POJ-0338,metric-0338,136.1,Improved outcomes for familys in health sector,Women,798,Family,438,Health,SDG 7,SDG 4,Target 4.4,Target 6.1
