Project ID,Outcome Metric Id - (Value),Period - Start - (Value),Period - End - (Value),Type - (Value),Payments - Currency - (Value),Payments - Amount - (Value),Payments - Amount USD - (Value)
INDIGO-POJ-0319,metric-0319,2025-10,2026-06,Actual,GBP,82200.8,90420.88
INDIGO-POJ-0320,metric-0320,2022-11,2023-06,Actual,CAD,56537.85,62191.64
INDIGO-POJ-0321,metric-0321,2013-11,2014-03,Actual,AUD,165452.2,181997.42
INDIGO-POJ-0323,metric-0323,2016-12,2017-09,Projected,AUD,66457.08,73102.79
INDIGO-POJ-0324,metric-0324,2022-02,2022-12,Actual,USD,179545.98,197500.58
INDIGO-POJ-0325,metric-0325,2011-02,2011-07,Actual,CAD,60111.85,66123.03
INDIGO-POJ-0326,metric-0326,2010-08,2011-07,Actual,AUD,131046.64,144151.3
INDIGO-POJ-0327,metric-0327,2025-02,2025-06,Actual,CAD,24087.08,26495.79
INDIGO-POJ-0328,metric-0328,2012-05,2013-02,Actual,USD,31131.96,34245.16
INDIGO-POJ-0329,metric-0329,2011-03,2011-07,Actual,GBP,66713.91,73385.3
INDIGO-POJ-0330,metric-0330,2019-07,2020-05,Actual,GBP,142515.36,156766.9
INDIGO-POJ-0331,metric-0331,2014-01,2014-11,Actual,USD,181578.7,199736.57
INDIGO-POJ-0332,metric-0332,2023-10,2024-07,Actual,USD,161452.3,177597.53
INDIGO-POJ-0333,metric-0333,2017-01,2017-09,Actual,EUR,263574.92,289932.41
INDIGO-POJ-0334,metric-0334,2014-06,2015-06,Actual,GBP,62299.26,68529.19
INDIGO-POJ-0335,metric-0335,2011-10,2012-08,Actual,GBP,39899.98,43889.98
INDIGO-POJ-0336,metric-0336,2022-09,2023-03,Actual,EUR,76805.61,84486.17
INDIGO-POJ-0337,metric-0337,2012-02,2012-12,Projected,AUD,170087.36,187096.1
INDIGO-POJ-0338,metric-0338,2012-03,2013-01,Projected,GBP,22728.7,25001.57
