ID,Impact Bond Name,Stage of Development,Dates - Date outcomes contract signed - (Value),Dates - Date contracts between all parties signed - (Value),Dates - Anticipated completion date - (Value),Dates - Actual completion date - (Value),Dates - Start date of service provision - (Value),Dates - Anticipated end date of service provision - (Value),Dates - Actual end date of service provision - (Value),Dates - Anticipated duration of service provision - (Value),Dates - Actual duration of service provision - (Value),Jurisdiction - Jurisdiction - (Value),Overall project finance – currency,Overall project finance – minimum,Overall project finance – exact,Overall project finance – max,Overall project finance – minimum in USD,Overall project finance – exact in USD,Overall project finance – maximum in USD,Overall Project Finance – maximum potential loss,Overall Project Finance – maximum potential return type,Overall project finance – maximum potential return,Overall project finance – investor repayment,Overall project finance - Total outcome payments made - Currency - (Value),Overall project finance - Total outcome payments made - Amount - (Value),Overall project finance - Total outcome payments made - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Currency - (Value),Investment Details - Total Funds Invested - Latest - Amount - (Value),Investment Details - Total Funds Invested - Latest - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Date - (Value),Investment Details - Internal Rate of Return - Target - (Value),Investment Details - Internal Rate of Return - Date - (Value),Investment Details - Internal Rate of Return - Latest - (Value),Purpose and classifications - Social challenge - (Value),Purpose and classifications - Policy sector - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Service and beneficiaries - Target population - (Value),Service and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value),success
INDIGO-POJ-0050,Refugee Integration,Implementation,2022-03-20,2022-03-20,2024-06-22,2024-06-22,2022-03-20,2024-06-22,2024-06-22,825,825,USA,GBP,296820.6,371025.74,445230.89,326502.66,408128.32,489753.98,74205.15,Variable,92756.44,395142.42,GBP,335871.06,369458.16,GBP,371025.74,408128.32,2022-03-20,0.0508,2024-06-22,0.0633,Youth unemployment,Education,SDG 3,SDG 2,Target 3.3,Target 10.5,Refugees,327,258,1
INDIGO-POJ-0051,Social Hospital Health Impact Bond,Complete,2016-02-09,2016-02-09,2019-11-29,2019-11-29,2016-02-09,2019-11-29,2019-11-29,1389,1389,Canada,CAD,243869.78,304837.22,365804.67,268256.76,335320.95,402385.13,60967.44,Fixed,76209.31,327700.02,CAD,278545.01,306399.51,CAD,304837.22,335320.95,2016-02-09,0.0613,2019-11-29,0.081,Homelessness,Housing,SDG 3,SDG 2,Target 7.3,Target 10.3,Youth,434,312,1
INDIGO-POJ-0052,Werk na Detentie (Work After Prison),Complete,2025-01-29,2025-01-29,2027-08-03,2027-08-03,2025-01-29,2027-08-03,2027-08-03,916,916,United Kingdom,CAD,301100.08,376375.1,451650.11,331210.08,414012.6,496815.13,75275.02,Variable,94093.77,406485.1,CAD,345512.34,380063.57,CAD,376375.1,414012.6,2025-01-29,0.0693,2027-08-03,0.1017,Mental health,Education,SDG 16,SDG 17,Target 8.3,Target 3.5,Disabled persons,703,730,1
INDIGO-POJ-0053,Working in Germany (Werken in Duitsland),Implementation,2017-06-23,2017-06-23,2020-04-10,2020-04-10,2017-06-23,2020-04-10,2020-04-10,1022,1022,Australia,USD,379753.6,474692.0,569630.39,417728.96,522161.2,626593.43,94938.4,Variable,118673.0,510293.9,USD,433749.81,477124.79,USD,474692.0,522161.2,2017-06-23,0.0569,2020-04-10,0.078,Homelessness,Employment and training,SDG 14,SDG 16,Target 5.4,Target 9.1,Disabled persons,522,508,1
INDIGO-POJ-0054,Werkplaats Rotterdam-Zuid (WRZ or Workplace Rotterdam South),Planned,2019-01-25,2019-01-25,2022-12-13,2022-12-13,2019-01-25,2022-12-13,2022-12-13,1418,1418,Canada,USD,375901.96,469877.45,563852.94,413492.15,516865.19,620238.23,93975.49,Fixed,117469.36,500419.48,USD,425356.56,467892.22,USD,469877.45,516865.19,2019-01-25,0.0939,2022-12-13,0.1073,Homelessness,Housing,SDG 2,SDG 7,Target 9.3,Target 10.4,Disabled persons,408,390,1
INDIGO-POJ-0055,Auckland South Corrections Facility (ASCF),Complete,2019-10-30,2019-10-30,2024-09-28,2024-09-28,2019-10-30,2024-09-28,2024-09-28,1795,1795,United Kingdom,AUD,162541.32,203176.65,243811.98,178795.45,223494.32,268193.18,40635.33,Variable,50794.16,217399.02,AUD,184789.16,203268.08,AUD,203176.65,223494.32,2019-10-30,0.083,2024-09-28,0.1041,Homelessness,Health,SDG 8,SDG 6,Target 5.5,Target 1.5,Disabled persons,430,451,1
INDIGO-POJ-0056,Improving Mental Health and Employment Social Bond (Auckland),Complete,2024-07-12,2024-07-12,2026-05-23,2026-05-23,2024-07-12,2026-05-23,2026-05-23,680,680,USA,AUD,249488.19,311860.23,374232.28,274437.0,343046.25,411655.51,62372.05,Fixed,77965.06,333690.45,AUD,283636.88,312000.57,AUD,311860.23,343046.25,2024-07-12,0.0621,2026-05-23,0.0886,Youth unemployment,Criminal justice,SDG 9,SDG 14,Target 8.4,Target 4.4,Women,395,292,1
INDIGO-POJ-0057,ICRC Programme for Humanitarian Impact Investment (PHII),Complete,2016-03-13,2016-03-13,2019-07-10,2019-07-10,2016-03-13,2019-07-10,2019-07-10,1214,1214,USA,EUR,109792.89,137241.11,164689.33,120772.17,150965.22,181158.26,27448.22,Variable,34310.28,147534.19,EUR,125404.06,137944.47,EUR,137241.11,150965.22,2016-03-13,0.0949,2019-07-10,0.1212,Mental health,Health,SDG 10,SDG 10,Target 10.5,Target 8.2,Disabled persons,695,657,1
INDIGO-POJ-0058,Finance for Jobs (F4J),Implementation,2022-03-10,2022-03-10,2025-04-20,2025-04-20,2022-03-10,2025-04-20,2025-04-20,1137,1137,USA,AUD,188489.53,235611.92,282734.3,207338.49,259173.11,311007.73,47122.38,Fixed,58902.98,248570.57,AUD,211284.99,232413.48,AUD,235611.92,259173.11,2022-03-10,0.0675,2025-04-20,0.0764,Mental health,Education,SDG 8,SDG 13,Target 4.4,Target 1.3,Disabled persons,590,542,1
INDIGO-POJ-0059,Asháninka Impact Bond (Peru Sustainable Cocoa And Coffee Production DIB),Implementation,2010-10-31,2010-10-31,2012-07-15,2012-07-15,2010-10-31,2012-07-15,2012-07-15,623,623,USA,CAD,312305.82,390382.27,468458.73,343536.4,429420.5,515304.6,78076.45,Variable,97595.57,413805.21,CAD,351734.43,386907.87,CAD,390382.27,429420.5,2010-10-31,0.0949,2012-07-15,0.1061,Mental health,Health,SDG 15,SDG 4,Target 9.4,Target 1.2,Disabled persons,358,389,1
INDIGO-POJ-0060,Projeto Familia (Project Family),Complete,2015-12-12,2015-12-12,2018-11-04,2018-11-04,2015-12-12,2018-11-04,2018-11-04,1058,1058,Canada,CAD,285450.13,356812.66,428175.19,313995.14,392493.92,470992.71,71362.53,Variable,89203.16,385357.67,CAD,327554.02,360309.42,CAD,356812.66,392493.92,2015-12-12,0.0542,2018-11-04,0.0859,Homelessness,Health,SDG 11,SDG 13,Target 6.4,Target 9.1,Youth,846,721,1
INDIGO-POJ-0061,Academia de Codigo Bootcamps (Code Academy Bootcamp),Complete,2012-01-11,2012-01-11,2015-06-17,2015-06-17,2012-01-11,2015-06-17,2015-06-17,1253,1253,United Kingdom,USD,131721.19,164651.49,197581.78,144893.31,181116.63,217339.96,32930.3,Fixed,41162.87,177000.35,USD,150450.3,165495.32,USD,164651.49,181116.63,2012-01-11,0.0949,2015-06-17,0.1214,Youth unemployment,Housing,SDG 6,SDG 10,Target 1.1,Target 6.1,Refugees,583,523,1
INDIGO-POJ-0062,Faz-te Forward (Bring Yourself Forward),Implementation,2019-03-30,2019-03-30,2023-06-01,2023-06-01,2019-03-30,2023-06-01,2023-06-01,1524,1524,Australia,GBP,81619.71,102024.63,122429.56,89781.68,112227.1,134672.52,20404.93,Variable,25506.16,107125.87,GBP,91056.99,100162.68,GBP,102024.63,112227.1,2019-03-30,0.058,2023-06-01,0.0545,Homelessness,Education,SDG 3,SDG 13,Target 10.2,Target 8.5,Women,672,559,0
INDIGO-POJ-0063,Academia de Codigo Junior (Junior Code Academy),Implementation,2024-12-15,2024-12-15,2026-01-03,2026-01-03,2024-12-15,2026-01-03,2026-01-03,384,384,USA,AUD,255594.81,319493.52,383392.22,281154.29,351442.87,421731.44,63898.7,Variable,79873.38,335468.19,AUD,285147.96,313662.76,AUD,319493.52,351442.87,2024-12-15,0.0846,2026-01-03,0.0786,Mental health,Criminal justice,SDG 6,SDG 3,Target 8.3,Target 10.3,Disabled persons,456,390,0
INDIGO-POJ-0064,Breaking Bars Farm,Planned,2018-08-18,2018-08-18,2022-05-03,2022-05-03,2018-08-18,2022-05-03,2022-05-03,1354,1354,Australia,USD,307897.35,384871.69,461846.03,338687.09,423358.86,508030.63,76974.34,Fixed,96217.92,407963.99,USD,346769.39,381446.33,USD,384871.69,423358.86,2018-08-18,0.0619,2022-05-03,0.0751,Mental health,Housing,SDG 12,SDG 10,Target 5.1,Target 7.3,Youth,902,753,1
INDIGO-POJ-0065,Cuidar de Quem Cuida,Complete,2021-02-21,2021-02-21,2023-09-30,2023-09-30,2021-02-21,2023-09-30,2023-09-30,951,951,USA,GBP,184127.9,230159.88,276191.86,202540.69,253175.87,303811.04,46031.98,Fixed,57539.97,246271.07,GBP,209330.41,230263.45,GBP,230159.88,253175.87,2021-02-21,0.0873,2023-09-30,0.1121,Homelessness,Education,SDG 7,SDG 9,Target 3.1,Target 1.3,Disabled persons,793,750,1
INDIGO-POJ-0066,Sapie (Alentejo),Planned,2016-08-14,2016-08-14,2019-06-14,2019-06-14,2016-08-14,2019-06-14,2019-06-14,1034,1034,Australia,AUD,290436.13,363045.16,435654.19,319479.74,399349.67,479219.61,72609.03,Variable,90761.29,386643.09,AUD,328646.63,361511.29,AUD,363045.16,399349.67,2016-08-14,0.0784,2019-06-14,0.0955,Youth unemployment,Education,SDG 5,SDG 12,Target 9.5,Target 5.2,Refugees,502,361,1
INDIGO-POJ-0067,Sapie (Centro),Complete,2020-07-03,2020-07-03,2021-12-04,2021-12-04,2020-07-03,2021-12-04,2021-12-04,519,519,Australia,GBP,109975.93,137469.91,164963.89,120973.52,151216.9,181460.28,27493.98,Variable,34367.48,147092.8,GBP,125028.88,137531.77,GBP,137469.91,151216.9,2020-07-03,0.0684,2021-12-04,0.0839,Youth unemployment,Housing,SDG 12,SDG 3,Target 7.1,Target 5.5,Youth,577,455,1
INDIGO-POJ-0068,Sapie (Norte),Implementation,2024-04-27,2024-04-27,2027-05-27,2027-05-27,2024-04-27,2027-05-27,2027-05-27,1125,1125,Australia,USD,391363.38,489204.22,587045.07,430499.72,538124.64,645749.57,97840.84,Fixed,122301.06,521002.5,USD,442852.12,487137.33,USD,489204.22,538124.64,2024-04-27,0.0697,2027-05-27,0.0806,Mental health,Housing,SDG 1,SDG 11,Target 10.2,Target 2.4,Refugees,618,639,1
INDIGO-POJ-0069,Spot Evora,Planned,2010-11-01,2010-11-01,2013-07-16,2013-07-16,2010-11-01,2013-07-16,2013-07-16,988,988,United Kingdom,AUD,365454.9,456818.62,548182.35,402000.39,502500.48,603000.58,91363.72,Fixed,114204.66,484227.74,AUD,411593.58,452752.94,AUD,456818.62,502500.48,2010-11-01,0.0816,2013-07-16,0.0916,Mental health,Health,SDG 8,SDG 5,Target 7.4,Target 6.5,Disabled persons,960,824,1
INDIGO-POJ-0070,Aprender e Ensinar Matematica Com a Khan Academy (Centro),Complete,2024-09-09,2024-09-09,2026-03-30,2026-03-30,2024-09-09,2026-03-30,2026-03-30,567,567,Canada,AUD,264609.24,330761.55,396913.86,291070.17,363837.71,436605.25,66152.31,Variable,82690.39,355568.67,AUD,302233.37,332456.71,AUD,330761.55,363837.71,2024-09-09,0.0746,2026-03-30,0.1069,Homelessness,Employment and training,SDG 2,SDG 12,Target 4.4,Target 8.2,Refugees,902,858,1
INDIGO-POJ-0071,Aprender e Ensinar Matematica Com a Khan Academy (Norte),Planned,2016-03-10,2016-03-10,2018-04-02,2018-04-02,2016-03-10,2018-04-02,2018-04-02,753,753,Canada,USD,142477.76,178097.2,213716.63,156725.53,195906.91,235088.3,35619.44,Fixed,44524.3,187002.05,USD,158951.75,174846.92,USD,178097.2,195906.91,2016-03-10,0.0861,2018-04-02,0.0808,Homelessness,Health,SDG 7,SDG 1,Target 1.3,Target 4.2,Women,983,892,0
INDIGO-POJ-0072,Programa Integrado de Promocao da Literacia (Integrated Literacy Programme),Implementation,2015-03-24,2015-03-24,2018-01-24,2018-01-24,2015-03-24,2018-01-24,2018-01-24,1037,1037,United Kingdom,GBP,380946.75,476183.43,571420.12,419041.42,523801.78,628562.13,95236.69,Fixed,119045.86,511897.19,GBP,435112.61,478623.87,GBP,476183.43,523801.78,2015-03-24,0.0977,2018-01-24,0.1251,Homelessness,Employment and training,SDG 5,SDG 5,Target 9.3,Target 3.1,Youth,215,174,1
INDIGO-POJ-0073,Early Childhood Development (ECD) Impact Bond Innovation Fund,Implementation,2010-05-10,2010-05-10,2012-04-30,2012-04-30,2010-05-10,2012-04-30,2012-04-30,721,721,United Kingdom,EUR,372756.6,465945.76,559134.91,410032.27,512540.33,615048.4,93189.15,Variable,116486.44,491572.77,EUR,417836.86,459620.54,EUR,465945.76,512540.33,2010-05-10,0.0685,2012-04-30,0.0759,Mental health,Education,SDG 14,SDG 17,Target 2.1,Target 8.4,Refugees,807,830,1
INDIGO-POJ-0074,Bonds 4 Jobs (South Africa),Implementation,2023-10-18,2023-10-18,2025-01-13,2025-01-13,2023-10-18,2025-01-13,2025-01-13,453,453,USA,CAD,388358.39,485447.99,582537.59,427194.23,533992.79,640791.35,97089.6,Fixed,121362.0,514574.87,CAD,437388.64,481127.5,CAD,485447.99,533992.79,2023-10-18,0.0927,2025-01-13,0.1023,Mental health,Housing,SDG 1,SDG 2,Target 8.4,Target 7.1,Disabled persons,654,686,1
INDIGO-POJ-0075,Haebom Project - Gyeonggi Province SIB ,Implementation,2013-04-30,2013-04-30,2014-09-11,2014-09-11,2013-04-30,2014-09-11,2014-09-11,499,499,USA,GBP,174223.65,217779.56,261335.47,191646.01,239557.51,287469.02,43555.91,Fixed,54444.89,227579.64,GBP,193442.69,212786.96,GBP,217779.56,239557.51,2013-04-30,0.0693,2014-09-11,0.062,Homelessness,Criminal justice,SDG 11,SDG 13,Target 10.5,Target 5.4,Disabled persons,918,939,0
INDIGO-POJ-0076,Seoul Welfare Facilities Children Education SIB,Implementation,2015-02-15,2015-02-15,2018-06-11,2018-06-11,2015-02-15,2018-06-11,2018-06-11,1212,1212,Canada,EUR,134237.68,167797.1,201356.52,147661.45,184576.81,221492.17,33559.42,Fixed,41949.27,176186.95,EUR,149758.91,164734.8,EUR,167797.1,184576.81,2015-02-15,0.0778,2018-06-11,0.0821,Homelessness,Housing,SDG 14,SDG 4,Target 6.4,Target 6.3,Refugees,903,832,1
INDIGO-POJ-0077,Norrköping SIB,Planned,2011-12-01,2011-12-01,2013-06-08,2013-06-08,2011-12-01,2013-06-08,2013-06-08,555,555,United Kingdom,AUD,379569.53,474461.91,569354.29,417526.48,521908.1,626289.72,94892.38,Variable,118615.48,507674.24,AUD,431523.11,474675.42,AUD,474461.91,521908.1,2011-12-01,0.0848,2013-06-08,0.1004,Youth unemployment,Employment and training,SDG 5,SDG 2,Target 10.5,Target 9.3,Youth,562,442,1
INDIGO-POJ-0078,Caritas Perspektive (Caritas Perspective),Complete,2011-02-26,2011-02-26,2013-10-07,2013-10-07,2011-02-26,2013-10-07,2013-10-07,954,954,USA,CAD,276802.31,346002.89,415203.47,304482.54,380603.18,456723.82,69200.58,Fixed,86500.72,373683.12,CAD,317630.65,349393.72,CAD,346002.89,380603.18,2011-02-26,0.0995,2013-10-07,0.1303,Youth unemployment,Employment and training,SDG 4,SDG 17,Target 4.2,Target 8.2,Youth,769,725,1
INDIGO-POJ-0079,Education Improvement Project in the Republic of Sakha (Yakutia),Complete,2022-11-17,2022-11-17,2025-02-22,2025-02-22,2022-11-17,2025-02-22,2025-02-22,828,828,United Kingdom,AUD,124826.88,156033.61,187240.33,137309.57,171636.97,205964.36,31206.72,Variable,39008.4,167736.13,AUD,142575.71,156833.28,AUD,156033.61,171636.97,2022-11-17,0.0759,2025-02-22,0.1027,Homelessness,Criminal justice,SDG 9,SDG 1,Target 3.3,Target 5.3,Refugees,385,399,1
INDIGO-POJ-0080,ATMAH,Planned,2024-03-14,2024-03-14,2025-05-15,2025-05-15,2024-03-14,2025-05-15,2025-05-15,427,427,Australia,USD,303045.04,378806.3,454567.56,333349.54,416686.93,500024.31,75761.26,Fixed,94701.57,399640.64,USD,339694.55,373664.0,USD,378806.3,416686.93,2024-03-14,0.0851,2025-05-15,0.0929,Mental health,Housing,SDG 14,SDG 15,Target 6.2,Target 6.3,Refugees,810,839,1
INDIGO-POJ-0081,Newpin Queensland Social Benefit Bond,Planned,2023-11-10,2023-11-10,2025-02-18,2025-02-18,2023-11-10,2025-02-18,2025-02-18,466,466,USA,USD,195037.17,243796.46,292555.75,214540.89,268176.11,321811.33,48759.29,Variable,60949.12,255986.28,USD,217588.34,239347.18,USD,243796.46,268176.11,2023-11-10,0.0647,2025-02-18,0.0673,Mental health,Housing,SDG 14,SDG 16,Target 10.4,Target 7.3,Women,316,278,1
INDIGO-POJ-0082,Utah High Quality Preschool Program,Planned,2025-03-18,2025-03-18,2030-01-05,2030-01-05,2025-03-18,2030-01-05,2030-01-05,1754,1754,Canada,CAD,357463.14,446828.93,536194.71,393209.46,491511.82,589814.18,89365.79,Fixed,111707.23,473638.66,CAD,402592.86,442852.15,CAD,446828.93,491511.82,2025-03-18,0.0957,2030-01-05,0.1082,Homelessness,Criminal justice,SDG 10,SDG 2,Target 4.4,Target 10.1,Youth,508,504,1
INDIGO-POJ-0083,NYC Adolescent Behavioral Learning Experience (i.e. ABLE) Project for Incarcerated Youth,Complete,2016-06-29,2016-06-29,2019-05-01,2019-05-01,2016-06-29,2019-05-01,2019-05-01,1036,1036,United Kingdom,USD,243629.57,304536.96,365444.35,267992.52,334990.66,401988.79,60907.39,Fixed,76134.24,327377.23,USD,278270.65,306097.71,USD,304536.96,334990.66,2016-06-29,0.0751,2019-05-01,0.1029,Homelessness,Housing,SDG 14,SDG 6,Target 3.4,Target 9.2,Refugees,606,467,1
INDIGO-POJ-0084,New York State Increasing Employment and Improving Public Safety,Implementation,2020-04-24,2020-04-24,2021-09-30,2021-09-30,2020-04-24,2021-09-30,2021-09-30,524,524,Canada,EUR,304629.4,380786.75,456944.1,335092.34,418865.43,502638.51,76157.35,Variable,95196.69,401730.02,EUR,341470.52,375617.57,EUR,380786.75,418865.43,2020-04-24,0.0898,2021-09-30,0.1005,Homelessness,Criminal justice,SDG 13,SDG 14,Target 5.1,Target 7.1,Refugees,832,765,1
INDIGO-POJ-0085,Massachusetts Juvenile Justice PFS Initiative,Planned,2012-05-17,2012-05-17,2014-09-27,2014-09-27,2012-05-17,2014-09-27,2014-09-27,863,863,Canada,AUD,364801.71,456002.14,547202.56,401281.88,501602.35,601922.82,91200.43,Fixed,114000.53,483362.26,AUD,410857.93,451943.72,AUD,456002.14,501602.35,2012-05-17,0.0669,2014-09-27,0.073,Homelessness,Criminal justice,SDG 3,SDG 13,Target 5.3,Target 4.3,Women,722,610,1
INDIGO-POJ-0086,Chicago Child-Parent Center PFS Initiative,Implementation,2014-05-08,2014-05-08,2017-04-22,2017-04-22,2014-05-08,2017-04-22,2017-04-22,1080,1080,Australia,EUR,265049.65,331312.06,397574.47,291554.61,364443.26,437331.91,66262.41,Variable,82828.01,349534.22,EUR,297104.09,326814.5,EUR,331312.06,364443.26,2014-05-08,0.0518,2017-04-22,0.0556,Mental health,Education,SDG 4,SDG 5,Target 5.2,Target 3.5,Women,277,282,1
INDIGO-POJ-0087,The Cuyahoga Partnering for Family Success Program,Implementation,2022-08-24,2022-08-24,2026-11-22,2026-11-22,2022-08-24,2026-11-22,2026-11-22,1551,1551,USA,AUD,228991.37,286239.21,343487.05,251890.5,314863.13,377835.75,57247.84,Fixed,71559.8,303413.56,AUD,257901.53,283691.68,AUD,286239.21,314863.13,2022-08-24,0.0771,2026-11-22,0.0906,Mental health,Employment and training,SDG 5,SDG 15,Target 2.4,Target 8.3,Refugees,257,217,1
INDIGO-POJ-0088,Massachusetts Chronic Individual Homelessness Pay for Success Initiative,Implementation,2020-02-20,2020-02-20,2021-05-07,2021-05-07,2020-02-20,2021-05-07,2021-05-07,442,442,USA,USD,89760.08,112200.1,134640.12,98736.09,123420.11,148104.13,22440.02,Fixed,28050.02,118371.11,USD,100615.44,110676.98,USD,112200.1,123420.11,2020-02-20,0.0519,2021-05-07,0.0488,Mental health,Employment and training,SDG 3,SDG 3,Target 10.5,Target 9.4,Disabled persons,767,628,0
INDIGO-POJ-0089,Santa Clara County Project Welcome Home,Implementation,2022-10-28,2022-10-28,2027-06-23,2027-06-23,2022-10-28,2027-06-23,2027-06-23,1699,1699,USA,GBP,343232.18,429040.22,514848.27,377555.4,471944.25,566333.1,85808.04,Fixed,107260.06,454782.64,GBP,386565.24,425221.77,GBP,429040.22,471944.25,2022-10-28,0.068,2027-06-23,0.0783,Mental health,Criminal justice,SDG 16,SDG 17,Target 3.1,Target 8.1,Refugees,286,207,1
INDIGO-POJ-0090,South Carolina Nurse-Family Partnership Pay for Success Project,Planned,2025-11-14,2025-11-14,2029-04-28,2029-04-28,2025-11-14,2029-04-28,2029-04-28,1261,1261,Australia,AUD,326397.94,407997.42,489596.91,359037.73,448797.16,538556.6,81599.48,Fixed,101999.36,436557.24,AUD,371073.65,408181.02,AUD,407997.42,448797.16,2025-11-14,0.0608,2029-04-28,0.0754,Mental health,Employment and training,SDG 12,SDG 10,Target 7.4,Target 6.5,Youth,862,827,1
INDIGO-POJ-0091,Denver Housing to Health Initiative,Implementation,2022-07-07,2022-07-07,2027-04-26,2027-04-26,2022-07-07,2027-04-26,2027-04-26,1754,1754,USA,AUD,279324.95,349156.19,418987.43,307257.45,384071.81,460886.17,69831.24,Variable,87289.05,368359.78,AUD,313105.81,344416.4,AUD,349156.19,384071.81,2022-07-07,0.0543,2027-04-26,0.0595,Mental health,Employment and training,SDG 5,SDG 11,Target 2.5,Target 3.3,Refugees,915,796,1
INDIGO-POJ-0092,Strong Beginnings Pay for Success Project,Planned,2025-11-24,2025-11-24,2027-05-16,2027-05-16,2025-11-24,2027-05-16,2027-05-16,538,538,Canada,EUR,253003.24,316254.05,379504.86,278303.56,347879.45,417455.34,63250.81,Fixed,79063.51,335229.29,EUR,284944.9,313439.39,EUR,316254.05,347879.45,2025-11-24,0.0819,2027-05-16,0.0886,Youth unemployment,Employment and training,SDG 5,SDG 17,Target 2.4,Target 9.3,Youth,516,520,1
INDIGO-POJ-0093,Connecticut Family Stability Pay for Success Project,Implementation,2020-11-27,2020-11-27,2022-12-25,2022-12-25,2020-11-27,2022-12-25,2022-12-25,758,758,Australia,GBP,312349.23,390436.53,468523.84,343584.15,429480.19,515376.22,78087.31,Fixed,97609.13,415814.91,GBP,353442.67,388786.94,GBP,390436.53,429480.19,2020-11-27,0.0988,2022-12-25,0.1037,Mental health,Education,SDG 3,SDG 10,Target 2.5,Target 9.5,Youth,544,398,1
INDIGO-POJ-0094,DC Water Environmental Bond,Implementation,2013-06-17,2013-06-17,2015-05-15,2015-05-15,2013-06-17,2015-05-15,2015-05-15,697,697,Australia,GBP,334459.58,418074.48,501689.37,367905.54,459881.93,551858.31,83614.9,Fixed,104518.62,443158.95,GBP,376685.1,414353.62,GBP,418074.48,459881.93,2013-06-17,0.0635,2015-05-15,0.0745,Mental health,Housing,SDG 2,SDG 14,Target 6.2,Target 8.5,Refugees,659,650,1
INDIGO-POJ-0095,Salt Lake County Pay for Success REACH Initiative,Implementation,2020-07-09,2020-07-09,2022-08-10,2022-08-10,2020-07-09,2022-08-10,2022-08-10,762,762,Canada,EUR,220470.85,275588.57,330706.28,242517.94,303147.43,363776.91,55117.71,Fixed,68897.14,290745.94,EUR,247134.05,271847.45,EUR,275588.57,303147.43,2020-07-09,0.0539,2022-08-10,0.0614,Mental health,Housing,SDG 10,SDG 13,Target 9.5,Target 7.2,Women,341,327,1
INDIGO-POJ-0096,Salt Lake County Homes Not Jails ,Complete,2018-04-29,2018-04-29,2022-06-07,2022-06-07,2018-04-29,2022-06-07,2022-06-07,1500,1500,United Kingdom,USD,210864.94,263581.18,316297.41,231951.44,289939.3,347927.15,52716.24,Variable,65895.29,284667.67,USD,241967.52,266164.27,USD,263581.18,289939.3,2018-04-29,0.0587,2022-06-07,0.093,Homelessness,Employment and training,SDG 3,SDG 6,Target 5.4,Target 9.2,Disabled persons,427,362,1
INDIGO-POJ-0097,Massachusetts Pathways to Economic Advancement Pay for Success Project,Complete,2019-04-22,2019-04-22,2020-08-08,2020-08-08,2019-04-22,2020-08-08,2020-08-08,474,474,USA,AUD,130059.85,162574.82,195089.78,143065.84,178832.3,214598.76,32514.96,Fixed,40643.7,173142.18,AUD,147170.85,161887.94,AUD,162574.82,178832.3,2019-04-22,0.0625,2020-08-08,0.0863,Mental health,Education,SDG 13,SDG 3,Target 6.2,Target 1.3,Youth,865,830,1
INDIGO-POJ-0098,Illinois Dually-Involved Youth Pay for Success Initiative,Planned,2016-06-08,2016-06-08,2020-01-31,2020-01-31,2016-06-08,2020-01-31,2020-01-31,1332,1332,Canada,GBP,291263.16,364078.95,436894.74,320389.48,400486.85,480584.21,72815.79,Fixed,91019.74,385923.69,GBP,328035.13,360838.65,GBP,364078.95,400486.85,2016-06-08,0.064,2020-01-31,0.076,Homelessness,Housing,SDG 1,SDG 3,Target 1.3,Target 4.2,Disabled persons,994,971,1
INDIGO-POJ-0099,"Los Angeles County ""Just-in-Reach"" Project",Implementation,2011-01-27,2011-01-27,2013-05-29,2013-05-29,2011-01-27,2013-05-29,2013-05-29,853,853,Canada,AUD,385556.89,481946.11,578335.33,424112.58,530140.72,636168.87,96389.22,Variable,120486.53,513272.61,AUD,436281.72,479909.89,AUD,481946.11,530140.72,2011-01-27,0.0869,2013-05-29,0.1125,Mental health,Health,SDG 4,SDG 16,Target 10.5,Target 1.5,Women,347,323,1
INDIGO-POJ-0100,Oklahoma Women in Recovery ,Planned,2017-11-30,2017-11-30,2020-04-05,2020-04-05,2017-11-30,2020-04-05,2020-04-05,857,857,Canada,CAD,214272.02,267840.02,321408.03,235699.22,294624.03,353548.83,53568.0,Variable,66960.01,282571.23,CAD,240185.54,264204.1,CAD,267840.02,294624.03,2017-11-30,0.0624,2020-04-05,0.0725,Youth unemployment,Education,SDG 3,SDG 17,Target 6.1,Target 9.5,Youth,681,720,1
INDIGO-POJ-0101,Ventura County Project to Support Reentry,Complete,2015-09-09,2015-09-09,2016-10-11,2016-10-11,2015-09-09,2016-10-11,2016-10-11,398,398,United Kingdom,EUR,193911.26,242389.07,290866.89,213302.38,266627.98,319953.57,48477.81,Fixed,60597.27,261780.2,EUR,222513.17,244764.48,EUR,242389.07,266627.98,2015-09-09,0.0879,2016-10-11,0.1201,Mental health,Employment and training,SDG 8,SDG 4,Target 10.3,Target 3.1,Refugees,546,432,1
INDIGO-POJ-0102,Alameda County Justice Restoration Project,Complete,2025-05-10,2025-05-10,2028-12-16,2028-12-16,2025-05-10,2028-12-16,2028-12-16,1316,1316,Australia,AUD,231735.63,289669.53,347603.44,254909.19,318636.48,382363.78,57933.91,Variable,72417.38,311394.75,AUD,264685.53,291154.09,AUD,289669.53,318636.48,2025-05-10,0.0549,2028-12-16,0.0838,Homelessness,Education,SDG 3,SDG 15,Target 1.3,Target 4.1,Women,523,494,1
