Project ID,Id,Outcome Definition - (Value),Target Population - (Value),Targeted number of service users Or beneficiaries (total) - (Value),Unit type of targeted Service users or beneficiaries - (Value),Unit description of Service user or beneficiaries - (Value),Outcome metric target - (Value),Other target for Meeting outcome metric target - (Value),Outcome validation Method - (Value),Data source for Outcome validation - (Value),Policy sector - (Value),Primary SDG goal - (Value),Secondary SDG goals - (Value),Primary SDG target - (Value),Secondary SDG targets - (Value),Sources,Notes
INDIGO-POJ-0136,outcomemetric10,"First Entry Level qualification (incl. Maths and/or English), minimum 45 guided learning hours
Achievement of an accredited QCF/NQF Entry Level qualification 
Qualification Certificate or signed letter from education/training provider.",,,,,,,,,,,,,,,
INDIGO-POJ-0136,outcomemetric11,"First level 1 qualification (e.g. NVQ), minimum 120 guided learning hours
Achievement of QCF/NVQ Level 1 qualification",,,,,,,,,,,,,,,
INDIGO-POJ-0136,outcomemetric12,"First level 2 or equivalent qualification, minimum 325 guided learning hours
Achievement of QCF/NVQ Level 2 qualification",,,,,,,,,,,,,,,
INDIGO-POJ-0136,outcomemetric13,"Entry into Employment
Entry into employment (includes both full-time or part-time)
Signed letter from employer, copy of payslips or employment contract, to show individual made and accepted an offer of employment.",,,,,,,,,,,,,,,
INDIGO-POJ-0136,outcomemetric14,"13 Weeks part-time Employment
Sustained part time employment for 13 weeks
Employment for 8-16 hours/week, evidenced by signed letter from employer or copy of payslips.",,,,,,,,,,,,,,,
INDIGO-POJ-0136,outcomemetric15,"26 Weeks part-time Employment
Sustained part time employment for 26 weeks",,,,,,,,,,,,,,,
INDIGO-POJ-0136,outcomemetric16,"13 Weeks full-time Employment
Sustained full time employment for 13 weeks
Employment for a minimum of 16 hours/week, evidenced by signed letter from employer or copy of payslips.",,,,,,,,,,,,,,,
INDIGO-POJ-0136,outcomemetric17,"26 Weeks full-time Employment
Sustained full time employment for 26 weeks",,,,,,,,,,,,,,,
INDIGO-POJ-0136,outcomemetric18,"6 Weeks Volunteering
Sustained volunteering for 6 weeks
Signed letter from organisation confirming volunteering agreement and attendance",,,,,,,,,,,,,,,
INDIGO-POJ-0136,outcomemetric19,"13 Weeks Volunteering
Sustained volunteering for 13 weeks",,,,,,,,,,,,,,,
INDIGO-POJ-0136,outcomemetric20,"20 Weeks Volunteering
Sustained volunteering for 20 weeks",,,,,,,,,,,,,,,
INDIGO-POJ-0136,outcomemetric21,"26 Weeks Volunteering
Sustained volunteering for 26 weeks",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric1,"Initial Assessment fee
Number of initial assessments of service users completed",,315,Individual,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric2,"Second Assessment fee
Number of second assessments of service users completed",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric3,"Third Assessment fee
Number of third assessments of service users completed",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric4,"Move into Accommodation
Initial prevention or relief of homelessness/ entry into accommodation which is a non-hostel tenancy
Signed copies of licence or tenancy agreements, written agreements with landlords, exclusive occupation of own room if living with friends/family.",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric5,"Accommodation sustained for 3 Months
Sustainment of accommodation for 3 months with no identified risk of homelessness
Evidence required alternates between claims to reduce burden on landlords - documentary evidence (e.g. signed letter from landlord or equivalent) and self-certification.",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric6,"Accommodation sustained for 6 Months
Sustainment of accommodation for 6 months with no identified risk of homelessness",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric7,"Accommodation sustained for 12 Months
Sustainment of accommodation for 12 months with no identified risk of homelessness",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric8,"Accommodation sustained for 18 Months
Sustainment of accommodation for 18 months with no identified risk of homelessness",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric9,"Entry into Education or training
Service users take up training and education opportunities
Signed letter from education/training provider that skills assessment completed, learning agreement is in place, registered on course and attended a session.",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric10,"First Entry Level qualification (incl. Maths and/or English), minimum 45 guided learning hours
Achievement of an accredited QCF/NQF Entry Level qualification 
Qualification Certificate or signed letter from education/training provider.",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric11,"First level 1 qualification (e.g. NVQ), minimum 120 guided learning hours
Achievement of QCF/NVQ Level 1 qualification",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric12,"First level 2 or equivalent qualification, minimum 325 guided learning hours
Achievement of QCF/NVQ Level 2 qualification",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric13,"Entry into Employment
Entry into employment (includes both full-time or part-time)
Signed letter from employer, copy of payslips or employment contract, to show individual made and accepted an offer of employment.",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric14,"13 Weeks part-time Employment
Sustained part time employment for 13 weeks
Employment for 8-16 hours/week, evidenced by signed letter from employer or copy of payslips.",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric15,"26 Weeks part-time Employment
Sustained part time employment for 26 weeks",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric16,"13 Weeks full-time Employment
Sustained full time employment for 13 weeks
Employment for a minimum of 16 hours/week, evidenced by signed letter from employer or copy of payslips.",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric17,"26 Weeks full-time Employment
Sustained full time employment for 26 weeks",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric18,"6 Weeks Volunteering
Sustained volunteering for 6 weeks
Signed letter from organisation confirming volunteering agreement and attendance",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric19,"13 Weeks Volunteering
Sustained volunteering for 13 weeks",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric20,"20 Weeks Volunteering
Sustained volunteering for 20 weeks",,,,,,,,,,,,,,,
INDIGO-POJ-0137,outcomemetric21,"26 Weeks Volunteering
Sustained volunteering for 26 weeks",,,,,,,,,,,,,,,
INDIGO-POJ-0138,outcomemetric1,"Improved school behaviour. Poor behaviour at school can be defined as those “whose behaviour is unacceptable, who break school rules or who fail to follow a reasonable instruction (Section 91 of Education and Inspection Act 2006)”. Students who have a pattern of this behaviour have to decrease this significantly. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor.",1300,2897,,,,,,,,4,,4.a,,,
INDIGO-POJ-0138,outcomemetric2,Improved school attendance ‘Persistent truancy’ means deliberate absence for days or weeks at a time. This has to decrease to attendance levels associated with the average student. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor. Copy of Attendance Record,800,,,,,,,,,4,,4.a,,,
INDIGO-POJ-0138,outcomemetric3,First Level 1 NQF qualification At least one GCSE passes (or NQF Level 1): -BTEC Introductory diplomas and certificates -OCR Nationals Level 1 and 2 -Key skill level 1 -NVQ at level 1 -Skills for Life at Level 1 Confirmation from school or copy of certificate,700,,,,,,,,,4,4,4.6,4.1,,
INDIGO-POJ-0138,outcomemetric4,First Level 2 NQF qualification Achievements in the following qualifications are counted as full Level 2: • 5 full GCSE/iGCSE at grade A* to C • 2 AS level (including VCE) at grade A to E • 1 A/A2 level (including VCE) at grade A to E • 1 NVQ/full VRQ* pass at Level 2 or higher • 1 International Baccalaureate pass (* more than 325 guided learning hours) Confirmation from school or copy of certificate,2200,,,,,,,,,4,4,4.6,4.1,,
INDIGO-POJ-0138,outcomemetric5,First Level 3 NQF qualification Achievements in the following qualifications are counted at Level 3 : • 4 AS level (including VCE) at grade A to E • 2 A/A2 level (including VCE) at grade A to E • 1 NVQ/full VRQ* pass at Level 3 or higher % • 1 International Baccalaureate pass % • 2 Pre-U Principal Subject or 4 Pre-U Short Course Subjects (* more than 595 guided learning hours) Copy of registration form/copy of certificate showing achievement and/or course completion,3300,,,,,,,,,4,,4.6,,,
INDIGO-POJ-0138,outcomemetric6,"First Level 4 NQF qualification or above Entry into post-18 higher or further education, including university. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding holidays) to generate an outcome payment. Copy of registration certificate and confirmation from university/college",2000,,,,,,,,,4,,4.6,,,
INDIGO-POJ-0138,outcomemetric7,English for speakers of other languages Completion of English as a Second Language Course with a minimum of a pass grade Copy of certificate,1200,,,,,,,,,4,,4.4,,,
INDIGO-POJ-0138,outcomemetric8,Entry to first employment (13 weeks) Entry into employment of 16 hours or more. For under 18’s this includes a training element. A training element is defined as at least 280 guided learning hours per year. This needs to have lasted for a minimum of 13 continuous or cumulative weeks in order for it to generate an outcome payment. Self-employment is also included. • This period begins to accrue from and including the job start date. • A person must be in employment and off-benefit Self employment is a person who is gainfully employed 1) in Great Britain and 2) in employment that is not employed earners employment Confirmation letter from employer. Self-Employment job outcomes will need to be supported by a letter from a recognised business start up organisation which must include a business plan or evidence of trading that is clearly linked to the company and be proportionate to the business.,2600,,,,,,,,,8,4,8.6,4.4,,
INDIGO-POJ-0138,outcomemetric9,Entry to first employment (26 weeks) Sustained employment is where a customer has been in employment and off benefit for a total of 26 weeks: and specifically where •a Job Outcome payment has been paid; and •thirteen continuous weeks in employment have elapsed between the Job Outcome payment date Confirmation letter from employer. Self-Employment job outcomes will need to be supported by a letter from a recognised business start up organisation which must include a business plan or evidence of trading that is clearly linked to the company and be proportionate to the business.,1000,,,,,,,,,8,,8.5,,,
INDIGO-POJ-0139,outcomemetric1,"Improved school behaviour. Poor behaviour at school can be defined as those “whose behaviour is unacceptable, who break school rules or who fail to follow a reasonable instruction (Section 91 of Education and Inspection Act 2006)”. Students who have a pattern of this behaviour have to decrease this significantly. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor.",,720,,,,,,,,4,,4.a,,,
INDIGO-POJ-0139,outcomemetric2,Improved school attendance ‘Persistent truancy’ means deliberate absence for days or weeks at a time. This has to decrease to attendance levels associated with the average student. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor. Copy of Attendance Record,,,,,,,,,,4,,4.a,,,
INDIGO-POJ-0139,outcomemetric3,Improved attitude to school/education,,,,,,,,,,4,,4.a,,,
INDIGO-POJ-0139,outcomemetric4,First Level 1 NQF qualification At least one GCSE passes (or NQF Level 1): -BTEC Introductory diplomas and certificates -OCR Nationals Level 1 and 2 -Key skill level 1 -NVQ at level 1 -Skills for Life at Level 1 Confirmation from school or copy of certificate,,,,,,,,,,4,,4.6,,,
INDIGO-POJ-0139,outcomemetric5,First Level 2 NQF qualification Achievements in the following qualifications are counted as full Level 2: • 5 full GCSE/iGCSE at grade A* to C • 2 AS level (including VCE) at grade A to E • 1 A/A2 level (including VCE) at grade A to E • 1 NVQ/full VRQ* pass at Level 2 or higher • 1 International Baccalaureate pass (* more than 325 guided learning hours) Confirmation from school or copy of certificate,,,,,,,,,,4,,4.4,,,
INDIGO-POJ-0139,outcomemetric6,First Level 3 NQF qualification Achievements in the following qualifications are counted at Level 3 : • 4 AS level (including VCE) at grade A to E • 2 A/A2 level (including VCE) at grade A to E • 1 NVQ/full VRQ* pass at Level 3 or higher % • 1 International Baccalaureate pass % • 2 Pre-U Principal Subject or 4 Pre-U Short Course Subjects (* more than 595 guided learning hours) Copy of registration form/copy of certificate showing achievement and/or course completion,,,,,,,,,,4,4,4.6,4.1,,
INDIGO-POJ-0139,outcomemetric7,Entry to first employment (13 weeks) Entry into employment of 16 hours or more. For under 18’s this includes a training element. A training element is defined as at least 280 guided learning hours per year. This needs to have lasted for a minimum of 13 continuous or cumulative weeks in order for it to generate an outcome payment. Self-employment is also included. • This period begins to accrue from and including the job start date. • A person must be in employment and off-benefit Self employment is a person who is gainfully employed 1) in Great Britain and 2) in employment that is not employed earners employment Confirmation letter from employer. Self-Employment job outcomes will need to be supported by a letter from a recognised business start up organisation which must include a business plan or evidence of trading that is clearly linked to the company and be proportionate to the business.,,,,,,,,,,4,4,4.6,4.1,,
INDIGO-POJ-0139,outcomemetric8,Entry to first employment (26 weeks) Sustained employment is where a customer has been in employment and off benefit for a total of 26 weeks: and specifically where •a Job Outcome payment has been paid; and •thirteen continuous weeks in employment have elapsed between the Job Outcome payment date Confirmation letter from employer. Self-Employment job outcomes will need to be supported by a letter from a recognised business start up organisation which must include a business plan or evidence of trading that is clearly linked to the company and be proportionate to the business.,,,,,,,,,,4,,4.6,,,
INDIGO-POJ-0139,outcomemetric9,QCF-accredited entry-level qualification,,,,,,,,,,8,4,8.6,4.4,,
INDIGO-POJ-0139,outcomemetric10,Basic skills,,,,,,,,,,8,,8.5,,,
INDIGO-POJ-0140,outcomemetric1,"Improved school behaviour. Poor behaviour at school can be defined as those “whose behaviour is unacceptable, who break school rules or who fail to follow a reasonable instruction (Section 91 of Education and Inspection Act 2006)”. Students who have a pattern of this behaviour have to decrease this significantly. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor.",,1500,,,,,,,,4,,4.1,4.2,,
INDIGO-POJ-0140,outcomemetric2,Improved school attendance ‘Persistent truancy’ means deliberate absence for days or weeks at a time. This has to decrease to attendance levels associated with the average student. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor. Copy of Attendance Record,,,,,,,,,,4,,4.1,4.2,,
INDIGO-POJ-0140,outcomemetric3,Improved attitude to school/education,,,,,,,,,,4,,4.1,4.2,,
INDIGO-POJ-0140,outcomemetric4,First Level 1 NQF qualification At least one GCSE passes (or NQF Level 1): -BTEC Introductory diplomas and certificates -OCR Nationals Level 1 and 2 -Key skill level 1 -NVQ at level 1 -Skills for Life at Level 1 Confirmation from school or copy of certificate,,,,,,,,,,4,,4.1,,,
INDIGO-POJ-0140,outcomemetric5,First Level 2 NQF qualification Achievements in the following qualifications are counted as full Level 2: • 5 full GCSE/iGCSE at grade A* to C • 2 AS level (including VCE) at grade A to E • 1 A/A2 level (including VCE) at grade A to E • 1 NVQ/full VRQ* pass at Level 2 or higher • 1 International Baccalaureate pass (* more than 325 guided learning hours) Confirmation from school or copy of certificate,,,,,,,,,,4,,4.1,,,
INDIGO-POJ-0140,outcomemetric6,First Level 3 NQF qualification Achievements in the following qualifications are counted at Level 3 : • 4 AS level (including VCE) at grade A to E • 2 A/A2 level (including VCE) at grade A to E • 1 NVQ/full VRQ* pass at Level 3 or higher % • 1 International Baccalaureate pass % • 2 Pre-U Principal Subject or 4 Pre-U Short Course Subjects (* more than 595 guided learning hours) Copy of registration form/copy of certificate showing achievement and/or course completion,,,,,,,,,,4,,4.1,,,
INDIGO-POJ-0140,outcomemetric7,Entry to first employment (13 weeks) Entry into employment of 16 hours or more. For under 18’s this includes a training element. A training element is defined as at least 280 guided learning hours per year. This needs to have lasted for a minimum of 13 continuous or cumulative weeks in order for it to generate an outcome payment. Self-employment is also included. • This period begins to accrue from and including the job start date. • A person must be in employment and off-benefit Self employment is a person who is gainfully employed 1) in Great Britain and 2) in employment that is not employed earners employment Confirmation letter from employer. Self-Employment job outcomes will need to be supported by a letter from a recognised business start up organisation which must include a business plan or evidence of trading that is clearly linked to the company and be proportionate to the business.,,,,,,,,,,4,,4.1,,,
INDIGO-POJ-0140,outcomemetric8,Entry to first employment (26 weeks) Sustained employment is where a customer has been in employment and off benefit for a total of 26 weeks: and specifically where •a Job Outcome payment has been paid; and •thirteen continuous weeks in employment have elapsed between the Job Outcome payment date Confirmation letter from employer. Self-Employment job outcomes will need to be supported by a letter from a recognised business start up organisation which must include a business plan or evidence of trading that is clearly linked to the company and be proportionate to the business.,,,,,,,,,,4,,4.3,,,
INDIGO-POJ-0140,outcomemetric9,QCF-accredited entry-level qualification,,,,,,,,,,4,,4.4,,,
INDIGO-POJ-0140,outcomemetric10,Basic skills,,,,,,,,,,4,,4.4,,,
INDIGO-POJ-0141,outcomemetric1,"Improved school behaviour. Poor behaviour at school can be defined as those “whose behaviour is unacceptable, who break school rules or who fail to follow a reasonable instruction (Section 91 of Education and Inspection Act 2006)”. Students who have a pattern of this behaviour have to decrease this significantly. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor.",,740,,,,,,,,4,,4.1,4.2,,
INDIGO-POJ-0141,outcomemetric2,Improved school attendance ‘Persistent truancy’ means deliberate absence for days or weeks at a time. This has to decrease to attendance levels associated with the average student. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor. Copy of Attendance Record,,,,,,,,,,4,,4.1,4.2,,
INDIGO-POJ-0141,outcomemetric3,First Level 1 NQF qualification At least one GCSE passes (or NQF Level 1): -BTEC Introductory diplomas and certificates -OCR Nationals Level 1 and 2 -Key skill level 1 -NVQ at level 1 -Skills for Life at Level 1 Confirmation from school or copy of certificate,,,,,,,,,,4,,4.1,,,
INDIGO-POJ-0141,outcomemetric4,First Level 2 NQF qualification Achievements in the following qualifications are counted as full Level 2: • 5 full GCSE/iGCSE at grade A* to C • 2 AS level (including VCE) at grade A to E • 1 A/A2 level (including VCE) at grade A to E • 1 NVQ/full VRQ* pass at Level 2 or higher • 1 International Baccalaureate pass (* more than 325 guided learning hours) Confirmation from school or copy of certificate,,,,,,,,,,4,,4.1,,,
INDIGO-POJ-0141,outcomemetric5,First Level 3 NQF qualification Achievements in the following qualifications are counted at Level 3 : • 4 AS level (including VCE) at grade A to E • 2 A/A2 level (including VCE) at grade A to E • 1 NVQ/full VRQ* pass at Level 3 or higher % • 1 International Baccalaureate pass % • 2 Pre-U Principal Subject or 4 Pre-U Short Course Subjects (* more than 595 guided learning hours) Copy of registration form/copy of certificate showing achievement and/or course completion,,,,,,,,,,4,,4.3,,,
INDIGO-POJ-0141,outcomemetric6,"First Level 4 NQF qualification or above Entry into post-18 higher or further education, including university. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding holidays) to generate an outcome payment. Copy of registration certificate and confirmation from university/college",,,,,,,,,,4,,4.3,,,
INDIGO-POJ-0141,outcomemetric7,English for speakers of other languages Completion of English as a Second Language Course with a minimum of a pass grade Copy of certificate,,,,,,,,,,4,,,,,
INDIGO-POJ-0141,outcomemetric8,Entry to first employment (13 weeks) Entry into employment of 16 hours or more. For under 18’s this includes a training element. A training element is defined as at least 280 guided learning hours per year. This needs to have lasted for a minimum of 13 continuous or cumulative weeks in order for it to generate an outcome payment. Self-employment is also included. • This period begins to accrue from and including the job start date. • A person must be in employment and off-benefit Self employment is a person who is gainfully employed 1) in Great Britain and 2) in employment that is not employed earners employment Confirmation letter from employer. Self-Employment job outcomes will need to be supported by a letter from a recognised business start up organisation which must include a business plan or evidence of trading that is clearly linked to the company and be proportionate to the business.,,,,,,,,,,4,,4.4,,,
INDIGO-POJ-0141,outcomemetric9,Entry to first employment (26 weeks) Sustained employment is where a customer has been in employment and off benefit for a total of 26 weeks: and specifically where •a Job Outcome payment has been paid; and •thirteen continuous weeks in employment have elapsed between the Job Outcome payment date Confirmation letter from employer. Self-Employment job outcomes will need to be supported by a letter from a recognised business start up organisation which must include a business plan or evidence of trading that is clearly linked to the company and be proportionate to the business.,,,,,,,,,,4,,4.4,,,
INDIGO-POJ-0142,outcomemetric1,"Improved school behaviour. Poor behaviour at school can be defined as those “whose behaviour is unacceptable, who break school rules or who fail to follow a reasonable instruction (Section 91 of Education and Inspection Act 2006)”. Students who have a pattern of this behaviour have to decrease this significantly. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor.",,,,,,,,,,4,,4.1,4.2,,
INDIGO-POJ-0142,outcomemetric2,Improved school attendance ‘Persistent truancy’ means deliberate absence for days or weeks at a time. This has to decrease to attendance levels associated with the average student. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor. Copy of Attendance Record,,,,,,,,,,4,,4.1,4.2,,
INDIGO-POJ-0142,outcomemetric3,First Level 1 NQF qualification At least one GCSE passes (or NQF Level 1): -BTEC Introductory diplomas and certificates -OCR Nationals Level 1 and 2 -Key skill level 1 -NVQ at level 1 -Skills for Life at Level 1 Confirmation from school or copy of certificate,,,,,,,,,,4,,4.1,,,
INDIGO-POJ-0142,outcomemetric4,First Level 2 NQF qualification Achievements in the following qualifications are counted as full Level 2: • 5 full GCSE/iGCSE at grade A* to C • 2 AS level (including VCE) at grade A to E • 1 A/A2 level (including VCE) at grade A to E • 1 NVQ/full VRQ* pass at Level 2 or higher • 1 International Baccalaureate pass (* more than 325 guided learning hours) Confirmation from school or copy of certificate,,,,,,,,,,4,,4.1,,,
INDIGO-POJ-0142,outcomemetric5,First Level 3 NQF qualification Achievements in the following qualifications are counted at Level 3 : • 4 AS level (including VCE) at grade A to E • 2 A/A2 level (including VCE) at grade A to E • 1 NVQ/full VRQ* pass at Level 3 or higher % • 1 International Baccalaureate pass % • 2 Pre-U Principal Subject or 4 Pre-U Short Course Subjects (* more than 595 guided learning hours) Copy of registration form/copy of certificate showing achievement and/or course completion,,,,,,,,,,4,,4.4,,,
INDIGO-POJ-0142,outcomemetric6,"First Level 4 NQF qualification or above Entry into post-18 higher or further education, including university. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding holidays) to generate an outcome payment. Copy of registration certificate and confirmation from university/college",,,,,,,,,,4,,4.4,,,
INDIGO-POJ-0142,outcomemetric7,English for speakers of other languages Completion of English as a Second Language Course with a minimum of a pass grade Copy of certificate,,,,,,,,,,,,,,,
INDIGO-POJ-0142,outcomemetric8,Entry to first employment (13 weeks) Entry into employment of 16 hours or more. For under 18’s this includes a training element. A training element is defined as at least 280 guided learning hours per year. This needs to have lasted for a minimum of 13 continuous or cumulative weeks in order for it to generate an outcome payment. Self-employment is also included. • This period begins to accrue from and including the job start date. • A person must be in employment and off-benefit Self employment is a person who is gainfully employed 1) in Great Britain and 2) in employment that is not employed earners employment Confirmation letter from employer. Self-Employment job outcomes will need to be supported by a letter from a recognised business start up organisation which must include a business plan or evidence of trading that is clearly linked to the company and be proportionate to the business.,,,,,,,,,,,,,,,
INDIGO-POJ-0142,outcomemetric9,Entry to first employment (26 weeks) Sustained employment is where a customer has been in employment and off benefit for a total of 26 weeks: and specifically where •a Job Outcome payment has been paid; and •thirteen continuous weeks in employment have elapsed between the Job Outcome payment date Confirmation letter from employer. Self-Employment job outcomes will need to be supported by a letter from a recognised business start up organisation which must include a business plan or evidence of trading that is clearly linked to the company and be proportionate to the business.,,,,,,,,,,,,,,,
INDIGO-POJ-0143,outcomemetric1,"Improved school behaviour. Poor behaviour at school can be defined as those “whose behaviour is unacceptable, who break school rules or who fail to follow a reasonable instruction (Section 91 of Education and Inspection Act 2006)”. Students who have a pattern of this behaviour have to decrease this significantly. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor.",,3928,,,,,,,,4,,4.1,4.2,,
INDIGO-POJ-0143,outcomemetric2,Improved school attendance ‘Persistent truancy’ means deliberate absence for days or weeks at a time. This has to decrease to attendance levels associated with the average student. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor. Copy of Attendance Record,,,,,,,,,,4,,4.1,4.2,,
INDIGO-POJ-0143,outcomemetric3,First Level 1 NQF qualification At least one GCSE passes (or NQF Level 1): -BTEC Introductory diplomas and certificates -OCR Nationals Level 1 and 2 -Key skill level 1 -NVQ at level 1 -Skills for Life at Level 1 Confirmation from school or copy of certificate,,,,,,,,,,4,,4.1,,,
INDIGO-POJ-0143,outcomemetric4,First Level 2 NQF qualification Achievements in the following qualifications are counted as full Level 2: • 5 full GCSE/iGCSE at grade A* to C • 2 AS level (including VCE) at grade A to E • 1 A/A2 level (including VCE) at grade A to E • 1 NVQ/full VRQ* pass at Level 2 or higher • 1 International Baccalaureate pass (* more than 325 guided learning hours) Confirmation from school or copy of certificate,,,,,,,,,,4,,4.1,,,
INDIGO-POJ-0143,outcomemetric5,First Level 3 NQF qualification Achievements in the following qualifications are counted at Level 3 : • 4 AS level (including VCE) at grade A to E • 2 A/A2 level (including VCE) at grade A to E • 1 NVQ/full VRQ* pass at Level 3 or higher % • 1 International Baccalaureate pass % • 2 Pre-U Principal Subject or 4 Pre-U Short Course Subjects (* more than 595 guided learning hours) Copy of registration form/copy of certificate showing achievement and/or course completion,,,,,,,,,,4,,4.4,,,
INDIGO-POJ-0143,outcomemetric6,"First Level 4 NQF qualification or above Entry into post-18 higher or further education, including university. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding holidays) to generate an outcome payment. Copy of registration certificate and confirmation from university/college",,,,,,,,,,4,,4.4,,,
INDIGO-POJ-0143,outcomemetric7,English for speakers of other languages Completion of English as a Second Language Course with a minimum of a pass grade Copy of certificate,,,,,,,,,,,,,,,
INDIGO-POJ-0143,outcomemetric8,Entry to first employment (13 weeks) Entry into employment of 16 hours or more. For under 18’s this includes a training element. A training element is defined as at least 280 guided learning hours per year. This needs to have lasted for a minimum of 13 continuous or cumulative weeks in order for it to generate an outcome payment. Self-employment is also included. • This period begins to accrue from and including the job start date. • A person must be in employment and off-benefit Self employment is a person who is gainfully employed 1) in Great Britain and 2) in employment that is not employed earners employment Confirmation letter from employer. Self-Employment job outcomes will need to be supported by a letter from a recognised business start up organisation which must include a business plan or evidence of trading that is clearly linked to the company and be proportionate to the business.,,,,,,,,,,,,,,,
INDIGO-POJ-0143,outcomemetric9,Entry to first employment (26 weeks) Sustained employment is where a customer has been in employment and off benefit for a total of 26 weeks: and specifically where •a Job Outcome payment has been paid; and •thirteen continuous weeks in employment have elapsed between the Job Outcome payment date Confirmation letter from employer. Self-Employment job outcomes will need to be supported by a letter from a recognised business start up organisation which must include a business plan or evidence of trading that is clearly linked to the company and be proportionate to the business.,,,,,,,,,,,,,,,
INDIGO-POJ-0144,outcomemetric1,"Improved school behaviour. Poor behaviour at school can be defined as those “whose behaviour is unacceptable, who break school rules or who fail to follow a reasonable instruction (Section 91 of Education and Inspection Act 2006)”. Students who have a pattern of this behaviour have to decrease this significantly. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor.",,3928,,,,,,,,4,,4.1,4.2,,
INDIGO-POJ-0144,outcomemetric2,Improved school attendance ‘Persistent truancy’ means deliberate absence for days or weeks at a time. This has to decrease to attendance levels associated with the average student. The improvement has to be demonstrated for a minimum of 13 continuous weeks (not withstanding school holidays) to generate an outcome payment. Confirmation letter from school/teacher/home tutor. Copy of Attendance Record,,,,,,,,,,4,,4.1,4.2,,
INDIGO-POJ-0144,outcomemetric3,First Level 1 NQF qualification At least one GCSE passes (or NQF Level 1): -BTEC Introductory diplomas and certificates -OCR Nationals Level 1 and 2 -Key skill level 1 -NVQ at level 1 -Skills for Life at Level 1 Confirmation from school or copy of certificate,,,,,,,,,,4,,4.1,,,
INDIGO-POJ-0144,outcomemetric4,First Level 2 NQF qualification Achievements in the following qualifications are counted as full Level 2: • 5 full GCSE/iGCSE at grade A* to C • 2 AS level (including VCE) at grade A to E • 1 A/A2 level (including VCE) at grade A to E • 1 NVQ/full VRQ* pass at Level 2 or higher • 1 International Baccalaureate pass (* more than 325 guided learning hours) Confirmation from school or copy of certificate,,,,,,,,,,4,,4.1,,,
