ID,Impact Bond Name - (Value),Alternative Names - (Value),Stage of Development - (Value),Stage of Development - (Source ID's),Social Investment Prototype - (Value),Dates - Date outcomes contract signed - (Value),Dates - Date contracts between all parties signed - (Value),Dates - Anticipated completion date - (Value),Dates - Actual completion date - (Value),Dates - Start date of service provision - (Value),Dates - Anticipated end date of service provision - (Value),Dates - Actual end date of service provision - (Value),Dates - Anticipated duration of service provision - (Value),Dates - Actual duration of service provision - (Value),Dates - (Source ID's),Dates - (Notes),Jurisdiction - Jurisdiction - (Value),Jurisdiction - (Source ID's),Jurisdiction - (Notes),Overall project finance - Total investment commitment - Currency - (Value),Overall project finance - Total investment commitment - Amount - Min - (Value),Overall project finance - Total investment commitment - Amount - Exact - (Value),Overall project finance - Total investment commitment - Amount - Max - (Value),Overall project finance - Total investment commitment - Amount USD - Min - (Value),Overall project finance - Total investment commitment - Amount USD - Exact - (Value),Overall project finance - Total investment commitment - Amount USD - Max - (Value),Overall project finance - Maximum potential outcome payment - Currency - (Value),Overall project finance - Maximum potential outcome payment - Amount - (Value),Overall project finance - Maximum potential outcome payment - Amount USD - (Value),Overall project finance - Maximum potential loss - (Value),Overall project finance - Maximum potential return type - (Value),Overall project finance - Maximum potential return - (Value),Overall project finance - Configuration of the Contracting Parties - (Value),Overall project finance - Investor repayment - (Value),Overall project finance - Total outcome payments made - Currency - (Value),Overall project finance - Total outcome payments made - Amount - (Value),Overall project finance - Total outcome payments made - Amount USD - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Investment Details - Total Funds Invested - Latest - Currency - (Value),Investment Details - Total Funds Invested - Latest - Amount - (Value),Investment Details - Total Funds Invested - Latest - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Date - (Value),Investment Details - Internal Rate of Return - Target - (Value),Investment Details - Internal Rate of Return - Latest - (Value),Investment Details - Internal Rate of Return - Date - (Value),Investment Details - (Source ID's),Investment Details - (Notes),Purpose and classifications - Social challenge - (Value),Purpose and classifications - Intervention - (Value),Purpose and classifications - Policy sector - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service and beneficiaries - Target population - (Value),Service and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value),Service and beneficiaries - Unit type of actual service users or beneficiaries engaged - (Value),Service and beneficiaries - Unit description of actual service user or beneficiaries engaged - (Value),Service and beneficiaries - (Source ID's),Service and beneficiaries - (Notes),Changes to project due to COVID-19 - (Value),Changes to project due to COVID-19 - (Source ID's),Notes - (Value)
INDIGO-POJ-0147,Think Forward (Tomorrow's People),,Complete,,,,,,,2012-04,,,,,source2,,,,,GBP,,900000,,,1421695.413,,GBP,3200000,5054917.024,,,,,,,,,,,,,,,,,,,,,"The IF pilot projects aim to prevent young people from becoming NEET, or support those already NEET to re-engage with education, training and employment. Interventions display a wide diversity in terms of participant age range, in and out of school provision and the balance between one to one and group work. Some programmes are built around participation on a structured programme or course. Despite these differences, there are also commonalities between projects including: time spent on initial marketing, recruitment and engagement; an intense initial process of working with each participant to achieve a positive shift in ‘mind-set’; a more extended period of personal and skills development and the encouragement of mental resilience in dealing with challenges and difficulties faced; and an ongoing process of goal setting and progression facilitation. Highly trained coaches in East London schools identify and support 14 to 17 year olds at risk of becoming NEET. Coaches provide a single point of contact for the young people for tailored, personal guidance and effective connections to employment opportunities (e.g. activities and links to training and to employers (in the City of London)). Delivered by progression managers in 10 schools and in community venues.",Employment and training,,,,,"source7,source2",,The 20% of school pupils in the Shoreditch area most at risk of becoming NEET.,,,,1000,,,source2,,,,"Additional assessments: Qualitative assessments of early implementation (2014) and delivery in the final year of operation (2016) were carried out to identify, for project partners, the key issues that the pilot projects have encountered in their first years, as well as assess how effectively the pilots have operated after three years of delivery. Furthermore, impact evaluation was carried out using survey and administrative participant data against a matched sample of non-participants to determine the Social Return on Investment (2018)."
INDIGO-POJ-0148,London Homelessness Social Impact Bond (St Mungo's/Street Impact),,Complete,,,2011-12,,,,2012-11,,,,,"source2,source1",,,,,GBP,,1200000,,,1895593.883,,,,,,,,,,,,,,,,,,,,,,,,,"The interventions were designed around a Navigator approach, whereby key workers adopted a personalised and flexible approach, supporting the cohort to access existing provision and achieve sustained long-term outcomes. It targets a cohort not covered by key programmes for the most challenging long-term entrenched sleepers or for those new to the streets.",Homelessness,,,,,"source10,source1",,"Individuals with recorded sleeping rough or in a rough sleeping hostel in London between July- September 2012, and recorded sleeping rough in London at least 6 times in the previous two years.",,,,,,,source11,,,,Additional assessment: Impact evaluation involving Propensity Score Matching (PSM) to control for any differences between comparison groups and the SIB cohort on characteristics and past experiences
INDIGO-POJ-0149,London Homelessness Social Impact Bond (Thames Reach),,Complete,,,2012-01,,,,2012-11,,,,,"source2,source1",,,,,GBP,,1200000,,,1895593.883,,,,,,,,,,,,,,,,,,,,,,,,,"The interventions were designed around a Navigator approach, whereby key workers adopted a personalised and flexible approach, supporting the cohort to access existing provision and achieve sustained long-term outcomes. It targets a cohort not covered by key programmes for the most challenging long-term entrenched sleepers or for those new to the streets.",Homelessness,,,,,"source11,source1",,"Individuals with recorded sleeping rough or in a rough sleeping hostel in London between July- September 2012, and recorded sleeping rough in London at least 6 times in the previous two years.",,,,,,,source12,,,,Impact evaluation involving Propensity Score Matching (PSM) to control for any differences between comparison groups and the SIB cohort on characteristics and past experiences
INDIGO-POJ-0150,Manchester Multi-dimensional Treatment Foster Care- Adolescents (MTFC-A),,Complete,,,2014-02,,,,2014,,,,,"source2,source3",,,,,GBP,,1200000,,,1974562.284,,,,,,,,,,,,,,,,,,,,,,,,,"Uses an intervention called Multi-dimensional Treatment Foster Care - Adolescents (MTFC-A), as an alternative to local authority residential care for those young people that meet the criteria. Within Multi-dimensional Treatment Foster Care, foster carers are trained to provide MTFC in order to help addressing children’s emotional and behavioural difficulties. The one-year MTFC programme includes encouraging the development of academic skills, setting boundaries, supporting the establishment of contact with pro-social peers and maintaining close supervision of the child.",Child and family welfare,,,,,"source2,source1",,"High need young people aged 11-14 who are looked after by the local authority, either in residential care or in foster placements, who are at risk of entering residential care.",,,,,,,source2,,,,"Referral Route: Referrals to the project are received from the Placements team in Manchester Council. On receipt of a referral, the Programme Supervisor or social Worker will contact the key professionals in a young person’s life (including; Social worker, key residential worker, CAMHS). Once this information has been gathered, the Programme Supervisor will arrange to meet with the young person to assess their suitability for the programme (focussing on their ability to understand the model and their commitment to it. Once this assessment is completed, and seen as being positive, the referral is discussed with the potential carers and once they have given agreement for the placement a placement agreement meeting will be held."
INDIGO-POJ-0151,Be the Change,Mayday Inspire,Complete,source7,NO,2017-05,,2020-05,2020-12,2017-05,,2020-12,36,41,source9,,,,,GBP,,177578,,,228549.9733,,,,,,,,,,,,,source7,,,,,,,,,,,Homelessness and unemployment,"‘Be the Change’ is a radical new intervention designed to help homeless and unemployed young people who are going through particularly difficult times in their lives. It is based on Mayday's Personal Transitions Services (PTS), a highly flexible ""assets-based"" approach that focuses on identifying people's strengths and then providing the personalised support they need to achieve their educational, training and employment aspirations. Unlike many homelessness programmes, it uses normal housing rather than hostels or supported accommodation, in the belief that this helps the young people to live more independently, build new support networks and break the cycle of dependency.",Homelessness,,,,,"source3,source1",,"Young adults aged 18 - 30 who are NEET, homeless, a priority for Local Authority support but unable to be accommodated in a supported housing scheme (due to previous difficulties in or eviction from supported housing, ongoing substance misuse, significant mental health issues, medium/low learning disability or ‘personality disorders’ but not eligible under the Fair Access to Care Services (FACS) criteria, lack of available specialist supported accommodation to step down from registered care or hospital) and living in Northamptonshire.",360,Individual,,262,Individual,,"source6,source7",,,,
INDIGO-POJ-0152,Entrenched Rough Sleepers Social Impact Bond- Pan-London,,Complete,,,2017-10,,,,2017-10,2021-07,,,,"source2,source3, source6",,,,,GBP,,250000,,,321759.9777,,GBP,3000000,3861119.732,,,,,,,,,,,,,,,,,,,,,"The scheme will work on the established ‘payments by results’ model, helping long-term rough sleepers move off the streets and into stable accommodation. Payment will be made to service providers with the skills and experience to effectively help long-term rough sleepers. The Social Impact Bond builds on previous homelessness SIBs contracted with St Mungo's and Thames Reach in London. ",Homelessness,,,,,source1,,"320 of the most entrenched rough sleepers – which includes those with mental health issues, as well as drug and alcohol problems – across all 33 London local authorities",320,Individual,,320,,,source1,,,,
INDIGO-POJ-0153,HMP Peterborough (The One Service),,Complete,,,2010-03,,,,2010-09,,,,,"source4,source3",,,,,GBP,,5000000,,,7725833.703,,,,,,,,,,,,,,,,,,,,,,,,,"The Peterborough SIB is intended to reduce the reconviction rates of short-sentence male prisoners leaving HMP Peterborough. The One Service contracted four organisations, St. Giles Trust, Ormiston Children and Families Trust, YMCA and SOVA, to deliver its core activities. St. Giles Trust and Ormiston Children and Families Trust focus on the immediate needs of an o ender and his family before and after he is released from prison. These needs include accommodation, medical services, family support, employment and training, bene ts and  nancial advice.Participants voluntarily refer themselves into 'The One Service'. St Giles Trust workers interviewed offenders to assess their needs. supported offenders before release, at the point of release, and into the community. The Ormiston Children and Families Trust supported offender's children and families in that time. SOVA and YMCA provided longer-term, lower-intensity support. ",Criminal justice,,,,,source1,,Adult males (aged 18 or over) who received custodial sentences of less than 12 months and who had been discharged from HMP Peterborough,,,,1802,,,source11,,,,"It has been reported that there were 17 investors in total. Additional assessment: QinetiQ and the University of Leicester appointed as Independent Assessor, created a comparison group using Propensity Score Matching. Intervention cohort matched against up to ten individuals in a control group. "
INDIGO-POJ-0154,Entrenched Rough Sleeping Social Impact Bond- Greater Manchester,,Complete,"source3, source14",,,,,,2017-12,2020-12,2021-03,,,"source3, source15",The project was meant to be a 3-year project from 2017 - 2020. The outcomes reported were verified March 2021,,,,GBP,,1800000,,,2316671.84,,GBP,2629000,3383627.926,,,,,,,,,,,,,,,,,,,,,"A programme to assist the most entrenched rough sleepers with secure accommodation and ongoing targeted support, using a housing first approach. It aims to provide the wrap-around support needed to enable individuals to sustain a tenancy in one of 270 homes to be made available by 15 Greater Manchester housing providers and two private rented sector partners – with charities Shelter, Great Places and The Brick ensuring individuals receive the intensive emotional and practical support they need to access appropriate health, training and employment services. The focus is on an individual’s assets and strengths, using a personalised fund to realise their individual ambitions and aspirations. The partnership invests in a second, third, fourth chance ethos, so it doesn’t matter how many times it takes for a participant to stabilise and move forward.",Homelessness,,,,,"source8,source3",,‘Entrenched rough sleepers’ – people who have regularly slept rough over the past two years and/or are well known to homelessness services,300,Individual,,406,Individual,,"source2, source15",,,,
INDIGO-POJ-0155,Entrenched Rough Sleeping Social Impact Bond- Newcastle and Gateshead,Five Bridges Changing Lives,Complete,,,,,,,2017-12,,,,,source4,,,,,GBP,,400000,,,514815.9644,,GBP,1500000,1930559.867,,,,,,,,,,,,,,,,,,,,,"The initiative will help get people off the streets and into stable, long-term accommodation as part of the Department for Communities and Local Government’s Homelessness Prevention Programme. Working alongside other support services in the area, Changing Lives uses an asset-based approach that will bring the separate organisations together to the maximum benefit of the individual. There are 5 proposed service elements include: 1) Multi-disciplinary team –therapeutic skills 2) Housing First 3) Access to dedicated supported accommodation 4) Learning framework – reflective practice to collectively respond to obstacles to inclusion 5) Values – elastic tolerance & unconditional positive regard",Homelessness,,,,,"source10,source3",,Cohort of single adults who are homeless and who have a history of rough sleeping or have been interacting with hostel services over the last 3 years or more.,185,Individual,,185,,,source11,,,,
INDIGO-POJ-0156,"""It's All About Me"" National Adoption Scheme SOF",,Complete,,,,,,,2013,,,,,source6,,,,,GBP,,2000000,,,3126658.215,,,,,,,,,,,,,,,,,,,,,,,,,"The essence of IAAM is to combine targeted family finding for harder to place children with specific support for parents adopting these children. The IAAM service is provide by six Voluntary Adoption Agencies (VAAs) operating across the country. Each Voluntary Adoption Agency (VAA) will be referred a child who has been seeking adoption on a spot-purchase basis by a local authority. The VAA will first task the South London and Maudsley Hospital with conducting a multidisciplinary assessment of the child and producing an authoritative report on the child's needs. For the child, the VAA will then provide a 24-hour helpline, buddying, and respite care whilst they attempt to find an adoptive family. Prospective parents are given training and support tailored to the needs of the child, as agreed by the commissioning local authority and the provider VAA.",Child and family welfare,,,,,"source13,source5",,"‘Harder to place’ children who would be likely to be aged 4+, in a sibling group, with a disability or from a BME background– or a combination of these – and would have been on the Adoption register for at least six months.",198,Individual,,198,,,source3,,,,"The working capital provided by the Investors was drawn down by the providers (VAAs) as required to fund each stage of the intervention for each child participating in the programme, totalling £46,500 per child."
INDIGO-POJ-0157,Single Homelessness Prevention Project (SHPS) Brent,,Implementation,source3,,,,,,2017-09,,,,,source3,,,,,GBP,,1400000,,,1801855.875,,,,,,,,,,,,,,,,,,,,,,,,,"The intervention aims at reducing homelessness by two means. Prevention, where a beneficiary is at-risk of being evicted 
or falling behind with their rent and need support to maintain the tenancy; and Relief, where a beneficiary is not in stable accommodation and needs help to identify some and sign a stable tenancy agreement. The programme will also work with each beneficiary over the long-term to sustain whatever positive arrangement was made.",Homelessness,,,,,source1,,Adults at-risk of being homeless in Brent.,1600,Individual,,,,,source1,,,,
INDIGO-POJ-0158,Entrenched Rough Sleepers Social Impact Bond- Street Impact Brighton,,Complete,,YES,,,,,2018-03,2021-03,,,,source1,,,,,GBP,,160000,,,213466.6674,,GBP,905060,1207500.887,,,,,,,,,,,,,,,,,,,,,"Wrap around support offering a Housing First style fidelity model will aim to reduce rough sleeping activity and ensuring access to local services – health (street triage), mental health (street based assessments). Collaboration will include increased flexibility around emergency or temporary accommodation through Housing Options plus access to hostel beds, and will align with the current commissioning of assessment centres and ‘safe places’ short term emergency beds. The ethos of the service delivery will be based on PIE (led by Brighton and Hove) and MEAM (Adur and Worthing) delivering innovation in strengths based work.",Homelessness,,,,,"source5,source1",,"A history of rough sleeping (seen rough sleeping at least 6 times over the last 2 years) or have spent at least 3 years interacting with homelessness services (including hostels) and have at least two other complex needs (including, but not necessarily limited to Substance misuse or addiction problems (including New Psychoactive Substances), a history of offending (5+ offences in the last five years or 1 offence in the last year) or street based anti-social behaviour, mental health problems (including self-reported), long-term health conditions) and are currently not being adequately or effectively supported through existing services.",100,,,100,,,source6,,,,"Referral Route: The referral criteria will be refined for this project but is based on the existing Housing First criteria used in Brighton and Hove. In each local authority area, partners will identify people who met the criteria using; ECINS, OPAL, Pathways, Mental Health and Substance Misuse Services, MARAC, Safeguarding Boards and High Impact Casework Forums. The lead officer will work with Fulfilling Lives Service User Groups and other services in each area to develop a robust criteria and referral form for this programme to be used all the agencies making referrals, ensuring a comprehensive list. The Panels will build on pre-existing multi-agency relationships and working arrangements."
INDIGO-POJ-0159,Entrenched Rough Sleeping Social Impact Bond- Street Impact Bristol,,Complete,,,2017-10,,,,2017-11,,,,,"source2,source3",,,,,GBP,,270000,,,347500.7759,,GBP,1125000,1447919.9,,,,,,,,,,,,,,,,,,,,,"Street Impact Bristol are supporting 125 specific people rough sleeping in Bristol, aiming to support them off the streets, through providing accommodation and vital support services tailored to each individual’s needs. This is targeted to individuals who are selected by Bristol City Council and are, by definition, diffcult to help with complex needs. The work also involves getting to know clients and creating individual “theories for change” based on the targets they discuss with clients. The Street Impact Bristol team is able to spend as much time as is needed with individuals, because the contract pays based on outcomes. This means they can link up services in a way that all too often, doesn’t happen. ",Homelessness,,,,,"source7,source2",,"Individuals selected by Bristol City Council who are over 21 years old, with a history of rough sleeping or long term engagement with homelessness services and are, by definition, difficult to help with complex needs (including substance misuse, a history of offending or street-based anti-social behaviour, mental health problems or long- term physical health conditions.) They have 'recourse to public funds' and are not currently being adequately or effectively supported through existing services. ",125,,,125,,,source8,,,,
INDIGO-POJ-0160,HCT Travel Training (Lambeth),,Complete,,,2016-02,,2020-11,2020-09,2016-11,,,48,39,source11,,,,,GBP,,420000,,,567081.3614,,,,,,,,,,,,,,,,,,,,,,,,This five year social investment bond (SIB) will deliver travel training for up to 80 young people with a statement of special educational needs or an educational health care plan.,"The intervention aims to deliver travel training for up to 200 young people with a statement of special educational needs or an educational health care plan. The service aims of help young people in Lambeth become more independent by acquiring life skills and confidence. The programme takes approximately 8 weeks. Each young person has a Travel Trainer, who completes four modules of training with them: learning the journey and foundation travel skills, personal safety and problem solving, journey practice and learning alternative routes, and building confidence and becoming independent. Over time and when they are ready, the young person will complete more of the journey on their own until they are travelling independently for the whole journey.",Education,,,,,"source7,source2",,"Young people who are aged 10-19 years old, live in the London Borough of Lambeth, are eligible for Special Education Needs transport, and have a statement of Special Educational Needs or an Education, Health and Care Plan.",200,Individual,,,,,source8,,,,
INDIGO-POJ-0161,Turning the Tide (North Somerset) ,Turning the Tide,Complete,source12,NO,2017-02,,2022-05,,2017-05,,,84,,source16,Actual completion date of 2023-03 is for the CBO fund. The actual duration of delivery is expected to be 8 years (3 years longer than the CBO fund length).,,,,,,,,,,,GBP,348692,438724.274361774,,,,,,,,,source12,,,,,,,,,,,This four year social investment bond (SIB) aims to tackle the causes of children and young people becoming looked after. Preventative interventions will help parents by enhancing their knowledge and skills and create positive family relationships. Up to ,"Turning the Tide does not replace any existing service but will work alongside and enhance the existing offer available to vulnerable families across North Somerset. The shared vision is to reunify and divert children and young people from the edge of care. Preventative interventions will help parents by enhancing their knowledge and skills and create positive family relationships. The intervention is based on the family preservation model, Core Assets Safer Stronger Families (SSF), which is a proven combination of evidence-based interventions (Triple P, Team Parenting, and Solution Focussed Brief Therapy) that can flexibly respond to a range of family circumstances. The North Somerset Turning the Tide Service uses a strength based intensive multi modal intervention, over a 12 or 18 week period which involves delivering practical support to the heart of the family in their own home. The support will equip children, young people and their families with the skills and coping mechanisms to reduce unwanted behaviour, increase positive family functioning, and build their resilience.",Child and family welfare,,,,,"source7,source1,source12",,Children and young people aged 10 - 17 who are currently either Children Looked After (CLA) under section 20 or at risk of becoming CLA under section 20.,240,Individual,,,,,source3,,,,
INDIGO-POJ-0162,West London Zone Royal Borough of Kensington and Chelsea,,Complete,,,2018-01,,,2021-03,2018-01,,,48,51,source22,,,,,GBP,,920000,,,,,GBP,1050001,,,,,,,,,,source22,,,,,,,,,,,,"The West London Zone Collective Impact Bond will support delivery of early interventions and services linked to improved achievement and well-being of Children and Young People (CYP), at risk of undesirable outcomes in later life. It will be delivered as two separate contracts over a five year period in the Royal borough of Kensington & Chelsea.",Education,,,,,source22,,Primary school children,872,,,,,,source22,,,,
INDIGO-POJ-0163,Futureshapers Sheffield,,Complete,,,,,,,2015-04,,2018-09,,,source6,,,,,GBP,,1125000,,,1718749.936,,,4000000,,,,,,,,,,,,,,,,,,,,,,"As part of the Youth Engagement Fund, the SIB aims to help disadvantaged young people aged 14 to 17 to participate and succeed in education or training. This aimed to improve their employability, reduce their long term dependency on benefits, and reduce their likelihood of offending. The programme aimed to provide wrap-around support to young people through a personal mentor over an extended time-period, as well as group work, skills development, enrichment activities, work experience opportunities and spot purchasing of specialist support. ",Employment and training,,,,,"source10,source1",,"Young people aged 14 to 17 in Sheffield who have poor attendance at or have been excluded from school, who have experience in the youth justice system, are ‘looked after’, have special educational needs or disability, or are teen parents",,,,,,,source1,,,,"The project was managed by an SPV, which included intermediary support from Triodos Bank."
INDIGO-POJ-0164,Prevista,,Complete,,,,,,,2015-04,,2018-09,,,source3,,,,,,,,,,,,GBP,11800,,,,,,,,,,"source12, source13","The total value of outcome payments claimable for support provided to an individual participant is limited to
£8,200 for Round 1 and £11,700 for Round Two participants.",,,,,,,,,,,"As part of the Youth Engagement Fund, the SIB aimed to help disadvantaged young people aged 14 to 17 to participate and succeed in education or training. It hoped to improve their employability, reduce their long term dependency on benefits, and reduce their likelihood of offending. Prevista’s Youth Engagement Fund (YEF) Project operated in 10 London boroughs, helping young people to improve their attitude, skills and behaviour and preparing them for progression into work or onto further skills development and education. As a managing agent, Prevista led a supply chain of innovative grassroots delivery partners enabling them to refer young people to providers who are most suited to meet their needs. Activities included a range of tailored in and out of school activities supported through a personal career coach, including volunteering, skills and enrichment activities, group work, employment integration activities, youth applied positive psychology and work with the young person’s family. ",Employment and training,,,,,"source7,source1",,"Young people aged 14 to 17 in London, 70% of whom will be gang members, ex-offenders/at risk of offending, in care/care leavers, and those with high levels of school absence",,,,,,,source1,,,,"Prevista offered a loan to the service providers to cover the upfront working capital – four service providers accepted the loan; the other eight ran the project as a PbR contract. This therefore means than an element of the project was a SIB (where Prevista provided social investment); whilst for the remainder of the project it was a PbR contract (as no social investment was used). Two local authorities provided local contributions: the London Boroughs of Waltham Forest and Croydon; the latter secured some of its contribution from the Croydon Partnership, a joint construction venture between Westfield and Hammerson, as part of its Community Plan. Prevista was also involved in the Innovation Fund."
INDIGO-POJ-0165,Teens and Toddlers,,Complete,,,,,,,2015-04,,2018-09,,,source7,,,,,GBP,,1650000,,,2520833.239,,GBP,11800,,,,,,,,,,"source12, sourc13","The total value of outcome payments claimable for support provided to an individual participant is limited to
£8,200 for Round 1 and £11,700 for Round Two participants.",,,,,,,,,,,"Teens and Toddlers (now Power2) delivered Aim for More, aiming to support up to 1,681 young people aged 14-15. The project operated in five local authorities: Bury, Rochdale, Stockport, Trafford and Wigan. The aim was for young people to acquire work experience in a nursery, mentoring a disadvantaged toddler, gain entry level qualifications in personal and social development and participate in classroom sessions during an 18 week programme. Following this, they received ongoing support towards their GCSEs, including group meetings, individualised tutoring, and careers coaching and sign-posting. ",Employment and training,,,,,"source7,source1",,"Young people aged 14 to 17 years in Greater Manchester who are in care/edge of care, have a history of offending/at risk of offending and/or other risky behaviour (eg drugs/teen pregnancy), have behavioural or mental health issues and are truanting",,,,,,,source1,,,," The SIB was managed through a SPV, which included intermediary support from Social Finance, a SIB advisor."
INDIGO-POJ-0166,Unlocking Potential (Career Connect),,Complete,,,,,,,2015-04,,2018-09,,,source7,,,,,GBP,,1120000,,,1711111.047,,,,,,,,,,,,,"source12, source13","""The total value of outcome payments claimable for support provided to an individual participant is limited to
£8,200 for Round 1 and £11,700 for Round Two participants.""",,,,,,,,,,,"As part of the Youth Engagement Fund, the SIB aims to help disadvantaged young people aged 14 to 17 to participate and succeed in education or training. This hoped to improve their employability, reduce their long term dependency on benefits, and reduce their likelihood of offending. The programme was typically 13 weeks long, during which a coach developed and implemented an individualised action plan with the young person, which could include resilience training, coaching, employability support, the completion of qualifications and sign-posting to other specialised provision.",Employment and training,,,,,"source8,source1",,"Young people with behavioural, mental health or wellbeing issues aged 14 to 17 in Greater Merseyside",,,,,,,source1,,,,"The SIB was managed through an SPV, which included intermediary support from Triodos Bank. Career Connect was also involved in the Innovation Fund."
INDIGO-POJ-0167,Cornwall Frequent Attenders Project,Addaction,Implementation,source1,YES,2018-08,2018-12,2024-09,,2018-11,2023-12,,,,source1,,GB,,source1,GBP,,407000,,,543005.8352,,GBP,2226336,2970303.29021088,,,,Direct contract between outcome payer and provider,,,,,source1,,,,,,,,,,,Drug and alcohol dependency,"The intervention includes very regular key worker outreach, home visits, drop in sessions and at community services, crisis management to address immediate problems (e.g. lack of accommodation), SMART goal planning alongside motivational interviewing and other therapeutic techniques to address substance misuse, reduce chaotic behaviour, improve coping skills and facilitate stabilisation.",Health,,,,,source1,,The target cohort is Cornwall residents aged 18+ with a substance misuse issue who have had eight A&E attendances/two hospital admissions in a year.,705,Individual,,,,,source1,,Switch to grant payments based on medium scenarios,source1,
INDIGO-POJ-0168,Big Picture Learning in Doncaster,Big Picture Learning,Implementation,source1,,2018-10,2018-12,2024-10,,2019-01,2024-08,,,,source1,,,,,GBP,,750000,,,982500,,GBP,6194792,8264885.02120031,,,,Intermediated contract with payments made through SPV (representatives from investor and provider) ,,,,,source1,,,,,,,,,,,Education and youth disengagement,"Big Picture Learning (BPL) is an innovative learning design, working with young people in small advisory groups. It is an alternative provision to Learning Centres and Pupil Referral Units within Doncaster.",Education,,,,,source1,,Doncaster children and young people aged 11-16 who are disengaged from education. They work with those showing early signs of crisis and provide them with a stable and supportive learning environment that works with them as individuals.,220,Individual,,,,,source1,,Pause project,source1,
INDIGO-POJ-0169,DFN-MoveForward,Think Forward,Complete,source1,,2018-09,2019-12,2024-05,,2018-09,2024-05,,,,source1,,,,,GBP,,450000,,,600375.002,,GBP,1683620,2750544.692496089,,,,Intermediated contract with payments made through SPV (members nominated by investor) ,,,,,source1,,,,,,,,,,,Youth unemployment,"The programme will be supported within a framework of one-to-one coaching and action planning and will include access to relevant Careers IAG; exposures to the world of work through insight days and work shadowing; volunteering; employability skills training through business mentoring programme, supported work placements and workshops, opportunities to engage in internships through a partnership with Project SEARCH and direct support into full time paid employment",Employment and training,,,,,source1,,The programme works with young people aged 14-25 with mild to moderate learning disabilities such as cognitive impairment and communication and interaction difficulties.,358,Individual,,358,,,,source1,Switch to grant payments based on medium scenarios,source1,
INDIGO-POJ-0170,Enhanced Dementia Care Service,,Implementation,source1,,2019-09,2019-09,2024-03,,2019-09,2024-03,,,,source1,,,,,GBP,,345000,,,440299.4845094118,,GBP,810000,1033746.615804706,,,,Direct contract between outcome payer and investor,,,,,source1,,,,,,,,,,,"Care services for the elderly, dementia, hospital admissions.","That individual patients will experience coordinated, seamless and integrated services using evidence-based care pathways, case management and personalised care planning. Effective care planning and preventative care will anticipate and avoid deterioration of conditions and support reduction in hospital admissions.",Health,,,,,source1,,People affected by dementia who happen to have a history of disproportionate number of admissions. Two or more unwarranted admissions in the preceding 12 months. The majority of the cohort are presently engaged with support services.,300,Individual,,,,,source1,,Switch to grant payments based on medium scenarios,source1,
INDIGO-POJ-0171,Fostering Better Outcomes,,Implementation,source1,,2019-08,2019-05,2024-06,,2018-06,2024-06,,,,source1,,,,,,,,,,,,GBP,1028926,,,,,Direct contract between outcome payer and provider,,,,,source1,,,,,,,,,,,Children on the edge of care or in care,"The Council will use a black box commissioning approach, and will provide an indicative example of the long-term intervention it intends to commission.",Child and family welfare,,,,,source1,,The project will work with children aged from 7-17 within the Local Authority either in or on the edge of care.,12,Individual,,,,,source1,,Continue on outcomes contract without variations,source1,
INDIGO-POJ-0172,FutureImpact,"FutureU, Futures Advice",Complete,source1,,2018-09,2018-05,2023-07,,2018-08,2023-07,,,,source1,,,,,GBP,,498000,,,635562.73422,,GBP,3288900,4197394.129671,,,,Direct contract between outcome payer and both provider/investors.,,,,,source1,,,,,,,,,,,"Youth disengagement, youth unemployment, youth not in education, employment or training.","FutureImpact Coaches will work with young people with SEND and facing multiple barriers to:
• Complete an assessment and develop a Personal Action Plan, then review progress every 8-12 weeks
• To overcome problem behaviours
• Address barriers (including mental health, substance misuse, family, environmental, cultural, economic issues)
• Build capacity, resilience and confidence
• Identify ambitions/options for progress
• Achieve a range of EET (Education, Employment and Training) goals
• Sustain progression.",Employment and training,,,,,source1,,"The goal for FutureImpact is to provide person-centred support to 16 – 24 year olds who have special educational needs and disability (SEND)/demonstrate complex needs, and young people (YP) aged 15 at high risk of becoming not in education, employment or training (NEET). All young people will have at least 2 Risk of NEET Indicators and will have additional risk factors and needs including exclusion, learning difficulties, mental health problems, substance misuse issues, homelessness and others.",1000,Individual,,,,,source1,,Switch to grant payments based on medium scenarios,source1,
