Project ID,Outcome Metric Id - (Value),Result level - (Value),Result type - (Value),Period - Start - (Value),Period - End - (Value),Outcomes achieved - (Value),Number engaged In impact bond - (Value),Number with Positive social outcomes - (Value),Other Description of result - (Value),Outcomes validator(s) - (Value),Evaluation Documents - (Value),Sources,Notes,(In Sandboxes)
INDIGO-POJ-0135,outcomemetric7,Outcome level,Final,2015-01,2017-01,157,,,,,,,,
INDIGO-POJ-0135,outcomemetric8,Outcome level,Final,2015-01,2017-01,132,,,,,,,,
INDIGO-POJ-0135,outcomemetric9,Outcome level,Final,2015-01,2017-01,158,,,,,,,,
INDIGO-POJ-0135,outcomemetric10,Outcome level,Final,2015-01,2017-01,122,,,,,,,,
INDIGO-POJ-0135,outcomemetric11,Outcome level,Final,2015-01,2017-01,131,,,,,,,,
INDIGO-POJ-0135,outcomemetric12,Outcome level,Final,2015-01,2017-01,27,,,,,,,,
INDIGO-POJ-0135,outcomemetric13,Outcome level,Final,2015-01,2017-01,53,,,,,,,,
INDIGO-POJ-0135,outcomemetric14,Outcome level,Final,2015-01,2017-01,3,,,,,,,,
INDIGO-POJ-0135,outcomemetric15,Outcome level,Final,2015-01,2017-01,1,,,,,,,,
INDIGO-POJ-0135,outcomemetric16,Outcome level,Final,2015-01,2017-01,31,,,,,,,,
INDIGO-POJ-0135,outcomemetric17,Outcome level,Final,2015-01,2017-01,20,,,,,,,,
INDIGO-POJ-0135,outcomemetric18,Outcome level,Final,2015-01,2017-01,52,,,,,,,,
INDIGO-POJ-0135,outcomemetric19,Outcome level,Final,2015-01,2017-01,37,,,,,,,,
INDIGO-POJ-0135,outcomemetric20,Outcome level,Final,2015-01,2017-01,20,,,,,,,,
INDIGO-POJ-0135,outcomemetric21,Outcome level,Final,2015-01,2017-01,15,,,,,,,,
INDIGO-POJ-0136,outcomemetric1,Outcome level,Final,2015-01,2017-12,138,139,,,,,,,
INDIGO-POJ-0136,outcomemetric2,Outcome level,Final,2015-01,2017-12,125,,,,,,,,
INDIGO-POJ-0136,outcomemetric3,Outcome level,Final,2015-01,2017-12,105,,,,,,,,
INDIGO-POJ-0136,outcomemetric4,Outcome level,Final,2015-01,2017-12,130,,,,,,,,
INDIGO-POJ-0136,outcomemetric5,Outcome level,Final,2015-01,2017-12,122,,,,,,,,
INDIGO-POJ-0136,outcomemetric6,Outcome level,Final,2015-01,2017-12,115,,,,,,,,
INDIGO-POJ-0136,outcomemetric7,Outcome level,Final,2015-01,2017-12,99,,,,,,,,
INDIGO-POJ-0136,outcomemetric8,Outcome level,Final,2015-01,2017-12,85,,,,,,,,
INDIGO-POJ-0136,outcomemetric9,Outcome level,Final,2015-01,2017-12,113,,,,,,,,
INDIGO-POJ-0136,outcomemetric10,Outcome level,Final,2015-01,2017-12,48,,,,,,,,
INDIGO-POJ-0136,outcomemetric11,Outcome level,Final,2015-01,2017-12,56,,,,,,,,
INDIGO-POJ-0136,outcomemetric12,Outcome level,Final,2015-01,2017-12,0,,,,,,,,
INDIGO-POJ-0136,outcomemetric13,Outcome level,Final,2015-01,2017-12,46,,,,,,,,
INDIGO-POJ-0136,outcomemetric14,Outcome level,Final,2015-01,2017-12,6,,,,,,,,
INDIGO-POJ-0136,outcomemetric15,Outcome level,Final,2015-01,2017-12,1,,,,,,,,
INDIGO-POJ-0136,outcomemetric16,Outcome level,Final,2015-01,2017-12,26,,,,,,,,
INDIGO-POJ-0136,outcomemetric17,Outcome level,Final,2015-01,2017-12,19,,,,,,,,
INDIGO-POJ-0136,outcomemetric18,Outcome level,Final,2015-01,2017-12,4,,,,,,,,
INDIGO-POJ-0136,outcomemetric19,Outcome level,Final,2015-01,2017-12,1,,,,,,,,
INDIGO-POJ-0136,outcomemetric20,Outcome level,Final,2015-01,2017-12,1,,,,,,,,
INDIGO-POJ-0136,outcomemetric21,Outcome level,Final,2015-01,2017-12,1,,,,,,,,
INDIGO-POJ-0137,outcomemetric1,Outcome level,Final,2015-01,2017-12,322,351,,,,,,,
INDIGO-POJ-0137,outcomemetric2,Outcome level,Final,2015-01,2017-12,253,,,,,,,,
INDIGO-POJ-0137,outcomemetric3,Outcome level,Final,2015-01,2017-12,176,,,,,,,,
INDIGO-POJ-0137,outcomemetric4,Outcome level,Final,2015-01,2017-12,290,,,,,,,,
INDIGO-POJ-0137,outcomemetric5,Outcome level,Final,2015-01,2017-12,271,,,,,,,,
INDIGO-POJ-0137,outcomemetric6,Outcome level,Final,2015-01,2017-12,251,,,,,,,,
INDIGO-POJ-0137,outcomemetric7,Outcome level,Final,2015-01,2017-12,211,,,,,,,,
INDIGO-POJ-0137,outcomemetric8,Outcome level,Final,2015-01,2017-12,181,,,,,,,,
INDIGO-POJ-0137,outcomemetric9,Outcome level,Final,2015-01,2017-12,292,,,,,,,,
INDIGO-POJ-0137,outcomemetric10,Outcome level,Final,2015-01,2017-12,31,,,,,,,,
INDIGO-POJ-0137,outcomemetric11,Outcome level,Final,2015-01,2017-12,91,,,,,,,,
INDIGO-POJ-0137,outcomemetric12,Outcome level,Final,2015-01,2017-12,3,,,,,,,,
INDIGO-POJ-0137,outcomemetric13,Outcome level,Final,2015-01,2017-12,101,,,,,,,,
INDIGO-POJ-0137,outcomemetric14,Outcome level,Final,2015-01,2017-12,6,,,,,,,,
INDIGO-POJ-0137,outcomemetric15,Outcome level,Final,2015-01,2017-12,3,,,,,,,,
INDIGO-POJ-0137,outcomemetric16,Outcome level,Final,2015-01,2017-12,63,,,,,,,,
INDIGO-POJ-0137,outcomemetric17,Outcome level,Final,2015-01,2017-12,43,,,,,,,,
INDIGO-POJ-0137,outcomemetric18,Outcome level,Final,2015-01,2017-12,31,,,,,,,,
INDIGO-POJ-0137,outcomemetric19,Outcome level,Final,2015-01,2017-12,12,,,,,,,,
INDIGO-POJ-0137,outcomemetric20,Outcome level,Final,2015-01,2017-12,8,,,,,,,,
INDIGO-POJ-0137,outcomemetric21,Outcome level,Final,2015-01,2017-12,7,,,,,,,,
INDIGO-POJ-0138,,Project level,Final,2012-04,2015-04,"According to the Qualitative Evaluation of the Innovation Fund projects, projects considered themselves to have broadly succeeded in what they originally set out to do, in terms of meeting, or exceeding, outcomes targets, remaining financially viable and repaying investments. There was also a strongly expressed conviction that positive social impact was being achieved with young people; a conviction supported by the testimony of young people themselves.",,,,,source11,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0138,,Project level,Final,2012-04,2015-04,"According to the Quantitative Evaluation of the Innovation Fund projects, the IF pilot has produced positive effects on participants, allowing them to achieve low-level qualifcations. However, it seems likely that the programme did not support young people in attaining higher-level qualifcations as expected, possibly refecting delivery challenges faced by projects in supporting individuals with disadvantaged backgrounds.",,,,,source12,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0139,,Project level,Final,2012-04,2015-04,"According to the Qualitative Evaluation of the Innovation Fund projects, projects considered themselves to have broadly succeeded in what they originally set out to do, in terms of meeting, or exceeding, outcomes targets, remaining financially viable and repaying investments. There was also a strongly expressed conviction that positive social impact was being achieved with young people; a conviction supported by the testimony of young people themselves.",,,,,source12,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0139,,Project level,Final,2012-04,2015-04,"According to the Quantitative Evaluation of the Innovation Fund projects, the IF pilot has produced positive effects on participants, allowing them to achieve low-level qualifcations. However, it seems likely that the programme did not support young people in attaining higher-level qualifcations as expected, possibly refecting delivery challenges faced by projects in supporting individuals with disadvantaged backgrounds.",,,,,source13,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0140,,Project level,Final,2012-04,2015-04,"According to the Qualitative Evaluation of the Innovation Fund projects, projects considered themselves to have broadly succeeded in what they originally set out to do, in terms of meeting, or exceeding, outcomes targets, remaining financially viable and repaying investments. There was also a strongly expressed conviction that positive social impact was being achieved with young people; a conviction supported by the testimony of young people themselves.",,,,,source13,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0140,,Project level,Final,2012-04,2015-04,"According to the Quantitative Evaluation of the Innovation Fund projects, the IF pilot has produced positive effects on participants, allowing them to achieve low-level qualifcations. However, it seems likely that the programme did not support young people in attaining higher-level qualifcations as expected, possibly refecting delivery challenges faced by projects in supporting individuals with disadvantaged backgrounds.",,,,,source14,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0141,,Project level,Final,2012-04,2015-04,"According to the Qualitative Evaluation of the Innovation Fund projects, projects considered themselves to have broadly succeeded in what they originally set out to do, in terms of meeting, or exceeding, outcomes targets, remaining financially viable and repaying investments. There was also a strongly expressed conviction that positive social impact was being achieved with young people; a conviction supported by the testimony of young people themselves.",,,,,source12,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0141,,Project level,Final,2012-04,2015-04,"According to the Quantitative Evaluation of the Innovation Fund projects, the IF pilot has produced positive effects on participants, allowing them to achieve low-level qualifcations. However, it seems likely that the programme did not support young people in attaining higher-level qualifcations as expected, possibly refecting delivery challenges faced by projects in supporting individuals with disadvantaged backgrounds.",,,,,source13,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0142,,Project level,Final,2012-04,2015-04,"According to the Qualitative Evaluation of the Innovation Fund projects, projects considered themselves to have broadly succeeded in what they originally set out to do, in terms of meeting, or exceeding, outcomes targets, remaining financially viable and repaying investments. There was also a strongly expressed conviction that positive social impact was being achieved with young people; a conviction supported by the testimony of young people themselves.",,,,,source17,,"The Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0142,,Project level,Final,2012-04,2015-04,"According to the Quantitative Evaluation of the Innovation Fund projects, the IF pilot has produced positive effects on participants, allowing them to achieve low-level qualifcations. However, it seems likely that the programme did not support young people in attaining higher-level qualifcations as expected, possibly refecting delivery challenges faced by projects in supporting individuals with disadvantaged backgrounds.",,,,,source18,,"The Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0143,,Project level,Final,2012-04,2015-04,"According to the Qualitative Evaluation of the Innovation Fund projects, projects considered themselves to have broadly succeeded in what they originally set out to do, in terms of meeting, or exceeding, outcomes targets, remaining financially viable and repaying investments. There was also a strongly expressed conviction that positive social impact was being achieved with young people; a conviction supported by the testimony of young people themselves.",,,,,source17,,"The Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0143,,Project level,Final,2012-04,2015-04,"According to the Quantitative Evaluation of the Innovation Fund projects, the IF pilot has produced positive effects on participants, allowing them to achieve low-level qualifcations. However, it seems likely that the programme did not support young people in attaining higher-level qualifcations as expected, possibly refecting delivery challenges faced by projects in supporting individuals with disadvantaged backgrounds.",,,,,source18,,"The Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0144,,Project level,Final,2012-04,2015-04,"According to the Qualitative Evaluation of the Innovation Fund projects, projects considered themselves to have broadly succeeded in what they originally set out to do, in terms of meeting, or exceeding, outcomes targets, remaining financially viable and repaying investments. There was also a strongly expressed conviction that positive social impact was being achieved with young people; a conviction supported by the testimony of young people themselves.",,,,,source11,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0144,,Project level,Final,2012-04,2015-04,"According to the Quantitative Evaluation of the Innovation Fund projects, the IF pilot has produced positive effects on participants, allowing them to achieve low-level qualifcations. However, it seems likely that the programme did not support young people in attaining higher-level qualifcations as expected, possibly refecting delivery challenges faced by projects in supporting individuals with disadvantaged backgrounds.",,,,,source12,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0145,,Project level,Final,2012-04,2015-04,"According to the Qualitative Evaluation of the Innovation Fund projects, projects considered themselves to have broadly succeeded in what they originally set out to do, in terms of meeting, or exceeding, outcomes targets, remaining financially viable and repaying investments. There was also a strongly expressed conviction that positive social impact was being achieved with young people; a conviction supported by the testimony of young people themselves.",,,,,source12,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0145,,Project level,Final,2012-04,2015-04,"According to the Quantitative Evaluation of the Innovation Fund projects, the IF pilot has produced positive effects on participants, allowing them to achieve low-level qualifcations. However, it seems likely that the programme did not support young people in attaining higher-level qualifcations as expected, possibly refecting delivery challenges faced by projects in supporting individuals with disadvantaged backgrounds.",,,,,source13,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0146,,Project level,Final,2012-04,2015-04,"According to the Qualitative Evaluation of the Innovation Fund projects, projects considered themselves to have broadly succeeded in what they originally set out to do, in terms of meeting, or exceeding, outcomes targets, remaining financially viable and repaying investments. There was also a strongly expressed conviction that positive social impact was being achieved with young people; a conviction supported by the testimony of young people themselves.",,,,,source13,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0146,,Project level,Final,2012-04,2015-04,"According to the Quantitative Evaluation of the Innovation Fund projects, the IF pilot has produced positive effects on participants, allowing them to achieve low-level qualifcations. However, it seems likely that the programme did not support young people in attaining higher-level qualifcations as expected, possibly refecting delivery challenges faced by projects in supporting individuals with disadvantaged backgrounds.",,,,,source14,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0147,,Project level,Final,2012-04,2015-04,"According to the Qualitative Evaluation of the Innovation Fund projects, projects considered themselves to have broadly succeeded in what they originally set out to do, in terms of meeting, or exceeding, outcomes targets, remaining financially viable and repaying investments. There was also a strongly expressed conviction that positive social impact was being achieved with young people; a conviction supported by the testimony of young people themselves.",,,,,source12,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0147,,Project level,Final,2012-04,2015-04,"According to the Quantitative Evaluation of the Innovation Fund projects, the IF pilot has produced positive effects on participants, allowing them to achieve low-level qualifcations. However, it seems likely that the programme did not support young people in attaining higher-level qualifcations as expected, possibly refecting delivery challenges faced by projects in supporting individuals with disadvantaged backgrounds.",,,,,source13,,"All the Innovation Fund projects were evaluated as one pilot project. The data on the Quantitative and Qualitative evaluation reports is not at the project level, but the group level (the whole pilot).",
INDIGO-POJ-0153,outcomemetric1,,,,,,1802,,,,,,,
INDIGO-POJ-0154,outcomemetric1,Outcome level,Final,2017-10,2021-03,328,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric2,Outcome level,Final,2017-10,2021-03,329,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric3,Outcome level,Final,2017-10,2021-03,315,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric4,Outcome level,Final,2017-10,2021-03,273,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric5,Outcome level,Final,2017-10,2021-03,243,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric6,Outcome level,Final,2017-10,2021-03,195,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric7,Outcome level,Final,2017-10,2021-03,391,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric8,Outcome level,Final,2017-10,2021-03,274,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric9,Outcome level,Final,2017-10,2021-03,165,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric10,Outcome level,Final,2017-10,2021-03,129,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric11,Outcome level,Final,2017-10,2021-03,81,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric12,Outcome level,Final,2017-10,2021-03,17,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric13,Outcome level,Final,2017-10,2021-03,8,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric14,Outcome level,Final,2017-10,2021-03,81,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric15,Outcome level,Final,2017-10,2021-03,95,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric16,Outcome level,Final,2017-10,2021-03,27,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric17,Outcome level,Final,2017-10,2021-03,15,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric18,Outcome level,Final,2017-10,2021-03,10,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric19,Outcome level,Final,2017-10,2021-03,4,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric20,Outcome level,Final,2017-10,2021-03,3,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric21,Outcome level,Final,2017-10,2021-03,7,,,,,source13,,,
INDIGO-POJ-0154,outcomemetric22,Outcome level,Final,2017-10,2021-03,5,,,,,source13,,,
INDIGO-POJ-0167,outcomemetric1,Outcome level,Interim,2018-11,2024-06,637,,,,,,,,
INDIGO-POJ-0167,outcomemetric2,Outcome level,Interim,2018-11,2024-06,316,,,,,,,,
INDIGO-POJ-0167,outcomemetric3,Outcome level,Interim,2018-11,2024-06,202,,,,,,,,
INDIGO-POJ-0168,outcomemetric1,Outcome level,Interim,2021-03,2024-03,32,,,,,,,,
INDIGO-POJ-0168,outcomemetric2,Outcome level,Interim,2021-03,2024-03,315,,,,,,,,
INDIGO-POJ-0168,outcomemetric3,Outcome level,Interim,2021-03,2024-03,229,,,,,,,,
INDIGO-POJ-0168,outcomemetric4,Outcome level,Interim,2023-04,2024-03,21,,,,,,,,
INDIGO-POJ-0168,outcomemetric5,Outcome level,Interim,2021-07,2024-03,88,,,,,,,,
INDIGO-POJ-0168,outcomemetric6,Outcome level,Interim,2022-04,2024-03,140,,,,,,,,
INDIGO-POJ-0168,outcomemetric7,Outcome level,Interim,2021-10,2024-03,126,,,,,,,,
INDIGO-POJ-0168,outcomemetric8,Outcome level,Interim,2021-10,2024-03,182,,,,,,,,
INDIGO-POJ-0168,outcomemetric9,Outcome level,Interim,2021-10,2024-03,195,,,,,,,,
INDIGO-POJ-0168,outcomemetric10,Outcome level,Interim,2022-04,2024-03,21,,,,,,,,
INDIGO-POJ-0169,outcomemetric1,Outcome level,Interim,2018-09,2024-02,267,,,,,,,,
INDIGO-POJ-0169,outcomemetric2,Outcome level,Interim,2018-09,2024-02,248,,,,,,,,
INDIGO-POJ-0169,outcomemetric3,Outcome level,Interim,2018-09,2024-02,153,,,,,,,,
INDIGO-POJ-0169,outcomemetric4,Outcome level,Interim,2018-09,2024-02,61,,,,,,,,
INDIGO-POJ-0170,outcomemetric1,Outcome level,Interim,2019-09,2023-12,120,,,,,,,,
INDIGO-POJ-0170,outcomemetric2,Outcome level,Interim,2019-09,2023-12,300,,,,,,,,
INDIGO-POJ-0171,outcomemetric1,Outcome level,Interim,2018-06,2024-03,136,,,,,,,,
INDIGO-POJ-0172,outcomemetric1,Outcome level,Interim,2018-08,2023-07,588,,,,,,,,
INDIGO-POJ-0172,outcomemetric2,Outcome level,Interim,2018-08,2023-07,472,,,,,,,,
INDIGO-POJ-0172,outcomemetric3,Outcome level,Interim,2018-08,2023-07,413,,,,,,,,
INDIGO-POJ-0172,outcomemetric4,Outcome level,Interim,2018-08,2023-07,361,,,,,,,,
INDIGO-POJ-0172,outcomemetric5,Outcome level,Interim,2018-08,2023-07,333,,,,,,,,
INDIGO-POJ-0172,outcomemetric6,Outcome level,Interim,2018-08,2023-07,352,,,,,,,,
INDIGO-POJ-0172,outcomemetric7,Outcome level,Interim,2018-08,2023-07,114,,,,,,,,
INDIGO-POJ-0172,outcomemetric8,Outcome level,Interim,2018-08,2023-07,144,,,,,,,,
INDIGO-POJ-0172,outcomemetric9,Outcome level,Interim,2018-08,2023-07,66,,,,,,,,
INDIGO-POJ-0172,outcomemetric10,Outcome level,Interim,2018-08,2023-07,7,,,,,,,,
INDIGO-POJ-0172,outcomemetric11,Outcome level,Interim,2018-08,2023-07,98,,,,,,,,
INDIGO-POJ-0172,outcomemetric12,Outcome level,Interim,2018-08,2023-07,58,,,,,,,,
INDIGO-POJ-0172,outcomemetric13,Outcome level,Interim,2018-08,2023-07,11,,,,,,,,
INDIGO-POJ-0172,outcomemetric14,Outcome level,Interim,2018-08,2023-07,93,,,,,,,,
INDIGO-POJ-0172,outcomemetric15,Outcome level,Interim,2018-08,2023-07,58,,,,,,,,
INDIGO-POJ-0172,outcomemetric16,Outcome level,Interim,2018-08,2023-07,49,,,,,,,,
INDIGO-POJ-0172,outcomemetric17,Outcome level,Interim,2018-08,2023-07,68,,,,,,,,
INDIGO-POJ-0172,outcomemetric18,Outcome level,Interim,2018-08,2023-07,60,,,,,,,,
INDIGO-POJ-0172,outcomemetric19,Outcome level,Interim,2018-08,2023-07,52,,,,,,,,
INDIGO-POJ-0173,outcomemetric1,Outcome level,Interim,2018-04,2024-06,726,,,,,,,,
INDIGO-POJ-0173,outcomemetric2,Outcome level,Interim,2018-04,2024-06,376,,,,,,,,
INDIGO-POJ-0173,outcomemetric3,Outcome level,Interim,2018-04,2024-06,754,,,,,,,,
INDIGO-POJ-0173,outcomemetric4,Outcome level,Interim,2018-04,2024-06,437,,,,,,,,
INDIGO-POJ-0173,outcomemetric5,Outcome level,Interim,2018-04,2024-06,486,,,,,,,,
INDIGO-POJ-0174,outcomemetric1,Outcome level,Interim,2019-06,2024-06,214,,,,,,,,
INDIGO-POJ-0174,outcomemetric2,Outcome level,Interim,2019-06,2024-06,150,,,,,,,,
INDIGO-POJ-0174,outcomemetric3,Outcome level,Interim,2019-06,2024-06,133,,,,,,,,
INDIGO-POJ-0174,outcomemetric4,Outcome level,Interim,2019-06,2024-06,115,,,,,,,,
INDIGO-POJ-0174,outcomemetric5,Outcome level,Interim,2019-06,2024-06,71,,,,,,,,
INDIGO-POJ-0174,outcomemetric6,Outcome level,Interim,2019-06,2024-06,146,,,,,,,,
INDIGO-POJ-0174,outcomemetric7,Outcome level,Interim,2019-06,2024-06,0,,,,,,,,
INDIGO-POJ-0174,outcomemetric8,Outcome level,Interim,2019-06,2024-06,1,,,,,,,,
INDIGO-POJ-0175,outcomemetric1,Outcome level,Interim,2020-10,2024-03,3476,,,,,,,,
INDIGO-POJ-0175,outcomemetric2,Outcome level,Interim,2020-10,2024-03,2994,,,,,,,,
INDIGO-POJ-0175,outcomemetric3,Outcome level,Interim,2020-10,2024-03,2399,,,,,,,,
INDIGO-POJ-0175,outcomemetric4,Outcome level,Interim,2020-10,2024-03,1844,,,,,,,,
INDIGO-POJ-0175,outcomemetric5,Outcome level,Interim,2020-10,2024-03,1876,,,,,,,,
INDIGO-POJ-0175,outcomemetric6,Outcome level,Interim,2020-10,2024-03,853,,,,,,,,
INDIGO-POJ-0175,outcomemetric7,Outcome level,Interim,2020-10,2024-03,806,,,,,,,,
INDIGO-POJ-0175,outcomemetric8,Outcome level,Interim,2020-10,2024-03,167,,,,,,,,
INDIGO-POJ-0175,outcomemetric9,Outcome level,Interim,2020-10,2024-03,330,,,,,,,,
INDIGO-POJ-0175,outcomemetric10,Outcome level,Interim,2020-10,2024-03,191,,,,,,,,
INDIGO-POJ-0175,outcomemetric11,Outcome level,Interim,2020-10,2024-03,1639,,,,,,,,
INDIGO-POJ-0175,outcomemetric12,Outcome level,Interim,2020-10,2024-03,445,,,,,,,,
INDIGO-POJ-0175,outcomemetric13,Outcome level,Interim,2020-10,2024-03,1693,,,,,,,,
INDIGO-POJ-0175,outcomemetric14,Outcome level,Interim,2020-10,2024-03,280,,,,,,,,
INDIGO-POJ-0175,outcomemetric15,Outcome level,Interim,2020-10,2024-03,266,,,,,,,,
INDIGO-POJ-0175,outcomemetric16,Outcome level,Interim,2020-10,2024-03,2748,,,,,,,,
INDIGO-POJ-0175,outcomemetric17,Outcome level,Interim,2020-10,2024-03,2444,,,,,,,,
INDIGO-POJ-0175,outcomemetric18,Outcome level,Interim,2020-10,2024-03,2076,,,,,,,,
INDIGO-POJ-0175,outcomemetric19,Outcome level,Interim,2020-10,2024-03,1438,,,,,,,,
INDIGO-POJ-0175,outcomemetric20,Outcome level,Interim,2020-10,2024-03,1359,,,,,,,,
INDIGO-POJ-0175,outcomemetric21,Outcome level,Interim,2020-10,2024-03,163,,,,,,,,
INDIGO-POJ-0175,outcomemetric22,Outcome level,Interim,2020-10,2024-03,41,,,,,,,,
INDIGO-POJ-0175,outcomemetric23,Outcome level,Interim,2020-10,2024-03,57,,,,,,,,
INDIGO-POJ-0175,outcomemetric24,Outcome level,Interim,2020-10,2024-03,18,,,,,,,,
INDIGO-POJ-0175,outcomemetric25,Outcome level,Interim,2020-10,2024-03,340,,,,,,,,
INDIGO-POJ-0175,outcomemetric26,Outcome level,Interim,2020-10,2024-03,106,,,,,,,,
INDIGO-POJ-0175,outcomemetric27,Outcome level,Interim,2020-10,2024-03,302,,,,,,,,
INDIGO-POJ-0175,outcomemetric28,Outcome level,Interim,2020-10,2024-03,252,,,,,,,,
INDIGO-POJ-0175,outcomemetric29,Outcome level,Interim,2020-10,2024-03,177,,,,,,,,
INDIGO-POJ-0175,outcomemetric30,Outcome level,Interim,2020-10,2024-03,121,,,,,,,,
INDIGO-POJ-0175,outcomemetric31,Outcome level,Interim,2020-10,2024-03,81,,,,,,,,
INDIGO-POJ-0175,outcomemetric32,Outcome level,Interim,2020-10,2024-03,13,,,,,,,,
INDIGO-POJ-0175,outcomemetric33,Outcome level,Interim,2020-10,2024-03,1,,,,,,,,
INDIGO-POJ-0176,outcomemetric1,Outcome level,Interim,2019-05,2023-03,704,,,,,,,,
INDIGO-POJ-0176,outcomemetric2,Outcome level,Interim,2019-05,2023-03,219,,,,,,,,
INDIGO-POJ-0176,outcomemetric3,Outcome level,Interim,2019-05,2023-03,51,,,,,,,,
INDIGO-POJ-0176,outcomemetric4,Outcome level,Interim,2019-05,2023-03,53,,,,,,,,
INDIGO-POJ-0177,outcomemetric1,Outcome level,Interim,2020-02,2023-04,122,,,,,,,,
INDIGO-POJ-0177,outcomemetric2,Outcome level,Interim,2020-02,2023-04,103,,,,,,,,
INDIGO-POJ-0177,outcomemetric3,Outcome level,Interim,2020-02,2023-04,103,,,,,,,,
INDIGO-POJ-0178,outcomemetric1,Outcome level,Interim,2019-02,2024-03,128102,,,,,,,,
INDIGO-POJ-0180,outcomemetric1,Outcome level,Interim,2019-04,2023-06,49,,,,,,,,
INDIGO-POJ-0180,outcomemetric2,Outcome level,Interim,2019-04,2023-06,47,,,,,,,,
INDIGO-POJ-0181,outcomemetric1,Outcome level,Interim,2022-04,2024-03,27,,,,,,,,
INDIGO-POJ-0181,outcomemetric2,Outcome level,Interim,2019-11,2024-03,65,,,,,,,,
INDIGO-POJ-0181,outcomemetric3,Outcome level,Interim,2019-11,2024-03,55,,,,,,,,
INDIGO-POJ-0181,outcomemetric4,Outcome level,Interim,2019-11,2024-03,39,,,,,,,,
