Project ID,Id,Name - (Value),Type - (Value),Publishing Organisations - (Value),URL - (Value),Archive URL - (Value),Internal URL - (Value),Publication Date - (Value),Accessed Date - (Value),Notes
INDIGO-POJ-0061,source6,Final Report (January 2022): see documents tab.,,,,,,,,
INDIGO-POJ-0061,source7,Email correspondence with Portugal Social Innovation Unit on 23/05/2022,,,,,,,,
INDIGO-POJ-0061,source8,Portugal: ESF Social Impact Bond for coding bootcamps (part of fi-compass newsletter),,,https://fi-compass.eu/f/fi-compass-news-autumn-2021/portugal-social-innovation-academia-de-cdigo-helps-unemployed-talent-retrain-for-developer-jobs/,,,,,
INDIGO-POJ-0062,source1,"Portuguese Social Investment Taskforce - Progress Report: Three years of learning, achievements and new chalenges, p21. Available at:http://taskforce.maze-impact.com/wp-content/uploads/2018/09/Progress_report_EN_WEB_092018.pdf accessed on 7/23/2019.",,,,,,,,
INDIGO-POJ-0062,source2,"Portuguese Social Investment Taskforce - Progress Report: Three years of learning, achievements and new chalenges. Available at:http://taskforce.maze-impact.com/wp-content/uploads/2018/09/Progress_report_EN_WEB_092018.pdf. See also Portugal Inovação Social Webpage (Translated by Google),  https://inovacaosocial.portugal2020.pt/sobre/portugal-inovacao-social/ accessed 31/07/19.",,,,,,,,
INDIGO-POJ-0062,source3,Portugal Inovação Social - Relatório de Execução 2017. Available at: https://inovacaosocial.portugal2020.pt/wp-content/uploads/2019/05/EMPIS_Relat%C3%B3rio-de-Execu%C3%A7%C3%A3o-2017_vf01-1.pdf,,,,,,,,
INDIGO-POJ-0062,source4,"Portuguese Social Investment Taskforce - Progress Report: Three years of learning, achievements and new chalenges. Available at:http://taskforce.maze-impact.com/wp-content/uploads/2018/09/Progress_report_EN_WEB_092018.pdf",,,,,,,,
INDIGO-POJ-0062,source5,Portugal Inovacao Social and MAZE (communication via emails in April 2020),,,,,,,,
INDIGO-POJ-0062,source6,TESE - Faz-te Forward. Available at: http://www.tese.org.pt/index.php/jovens/2013-10-21-15-30-21 (Own Translation),,,,,,,,
INDIGO-POJ-0062,source7,"Portugal Inovação Social, Relatório de Execução 2017, p35, https://inovacaosocial.portugal2020.pt/wp-content/uploads/2019/05/EMPIS_Relat%C3%B3rio-de-Execu%C3%A7%C3%A3o-2017_vf01-1.pdf, accessed 31/007/19.",,,,,,,,
INDIGO-POJ-0062,source8,"Portuguese Social Investment Taskforce Progress Report 2018, p21, http://taskforce.maze-impact.com/wp-content/uploads/2018/09/Progress_report_EN_WEB_092018.pdf accessed 31/07/18",,,,,,,,
INDIGO-POJ-0062,source9,"Portugal Inovacao Social and MAZE (communication via emails in April 2020); Portugal Inovação Social webpage (translated by Google) at https://inovacaosocial.portugal2020.pt/project/faz-te-forward/ and Portuguese Social Investment Taskforce Progress Report 2018, p21, at:http://taskforce.maze-impact.com/wp-content/uploads/2018/09/Progress_report_EN_WEB_092018.pdf, both accessed 31/7/19.",,,,,,,,
INDIGO-POJ-0062,sourcehackandlearn2021-08,Hack and Learn - August 2021,,,,,,,,
INDIGO-POJ-0062,source10,"Final report , Social Impact Bond Faz-Te Forward (Jan 2022)",,,,,,,,
INDIGO-POJ-0062,source11,Updated data shared by Portugal Social Innovation Fund on 23/05/2022.,,,,,,,,
INDIGO-POJ-0062,source12,Email correspondence with Portugal Social Innovation Unit on 23/05/2022,Email correspondence,,,,,,,
INDIGO-POJ-0063,source1,Portuguese Working Group for Social Investment (Own translation). Pg 18. Available at: http://taskforce.maze-impact.com/wp-content/uploads/2015/08/PT_Final-report.pdf,,,,,,,,
INDIGO-POJ-0063,source2,"Calouste Gulbenkian Foundation, Lisbon Municipal Chamber, Academia de Código, Maze - Results and Evaluation of Pilot Intervention ""Social Impact Bond - Junior Code Academy"" (Own translation). Pg 3. Available at: https://maze-impact.com/wp-content/uploads/2018/05/RESULTADOS_TIS_PT_v3.pdf",,,,,,,,
INDIGO-POJ-0063,source3,"Calouste Gulbenkian Foundation, Lisbon Municipal Chamber, Academia de Código, Maze - Results and Evaluation of Pilot Intervention ""Social Impact Bond - Junior Code Academy"" (Own translation). Pg 8. Available at: https://maze-impact.com/wp-content/uploads/2018/05/RESULTADOS_TIS_PT_v3.pdf",,,,,,,,
INDIGO-POJ-0063,source4,"Calouste Gulbenkian Foundation, Lisbon Municipal Chamber, Academia de Código, Maze - Results and Evaluation of Pilot Intervention ""Social Impact Bond - Junior Code Academy"" (Own translation). Pg 6. Available at: https://maze-impact.com/wp-content/uploads/2018/05/RESULTADOS_TIS_PT_v3.pdf",,,,,,,,
INDIGO-POJ-0063,source5,"Calouste Gulbenkian Foundation, Lisbon Municipal Chamber, Academia de Código, Maze - Results and Evaluation of Pilot Intervention ""Social Impact Bond - Junior Code Academy"" (Own translation). Pg 5. Available at: https://maze-impact.com/wp-content/uploads/2018/05/RESULTADOS_TIS_PT_v3.pdf",,,,,,,,
INDIGO-POJ-0063,source6,"Calouste Gulbenkian Foundation, Lisbon Municipal Chamber, Academia de Código, Maze - Results and Evaluation of Pilot Intervention ""Social Impact Bond - Junior Code Academy"" (Own translation). Pg 2. Available at: https://maze-impact.com/wp-content/uploads/2018/05/RESULTADOS_TIS_PT_v3.pdf",,,,,,,,
INDIGO-POJ-0063,source7,"Calouste Gulbenkian Foundation, Lisbon Municipal Chamber, Academia de Código, Maze - Results and Evaluation of Pilot Intervention ""Social Impact Bond - Junior Code Academy"" (Own translation). Pg 7. Available at: https://maze-impact.com/wp-content/uploads/2018/05/RESULTADOS_TIS_PT_v3.pdf",,,,,,,,
INDIGO-POJ-0063,source8,"Calouste Gulbenkian Foundation, Lisbon Municipal Chamber, Academia de Código, Maze - Results and Evaluation of Pilot Intervention ""Social Impact Bond - Junior Code Academy"" (Own translation). Pg 5. Available at: https://maze-impact.com/wp-content/uploads/2018/05/RESULTADOS_TIS_PT_v3.pdf; Portuguese Working Group for Social Investment (Own translation). Pg 18. Available at: http://taskforce.maze-impact.com/wp-content/uploads/2015/08/PT_Final-report.pdf",,,,,,,,
INDIGO-POJ-0063,source9,"Calouste Gulbenkian Foundation, Lisbon Municipal Chamber, Academia de Código, Maze - Results and Evaluation of Pilot Intervention ""Social Impact Bond - Junior Code Academy"" (Own translation). Pg 9-10. Available at: https://maze-impact.com/wp-content/uploads/2018/05/RESULTADOS_TIS_PT_v3.pdf",,,,,,,,
INDIGO-POJ-0064,source1,Portugal Inovacao Social and MAZE (communication via emails in April 2020),,,,,,,,
INDIGO-POJ-0064,sourcehackandlearn2022-03,Hack and Learn - March 2022,,,,,,,,
INDIGO-POJ-0064,source3,Email correspondence with Portugal Social Innovation Unit on 23/05/2022,,,,,,,,
INDIGO-POJ-0065,source1,Portugal Inovacao Social and MAZE (communication via emails in April 2020),Email correspondence,,,,,,,
INDIGO-POJ-0065,sourcehackandlearn2021-08,Hack and Learn - August 2021,,,,,,,,
INDIGO-POJ-0065,source3,Email correspondence with Portugal Social Innovation Unit on 23/05/2022,Email correspondence,,,,,,,
INDIGO-POJ-0065,source4,Portugal Social Innovation official website,Website,,https://inovacaosocial.portugal2020.pt/en/project/cuidar-de-quem-cuida/?doing_wp_cron=1654779931.3901031017303466796875,,,,,
INDIGO-POJ-0066,source1,Portugal Inovacao Social and MAZE (communication via emails in April 2020),Email correspondence,,,,,,,
INDIGO-POJ-0066,sourcehackandlearn2021,Hack and Learn - March 2021,,,,,,,,
INDIGO-POJ-0066,source3,Email correspondence with Portugal Social Innovation Unit on 23/05/2022,Email correspondence,,,,,,,
INDIGO-POJ-0067,source1,Portugal Inovacao Social and MAZE (communication via emails in April 2020),,,,,,,,
INDIGO-POJ-0067,sourcehackandlearn2021,Hack and Learn - March 2021,,,,,,,,
INDIGO-POJ-0068,source1,Portugal Inovacao Social and MAZE (communication via emails in April 2020),,,,,,,,
INDIGO-POJ-0068,sourcehackandlearn2021,Hack and Learn - March 2021,,,,,,,,
INDIGO-POJ-0068,source3,Email correspondence with Portugal Social Innovation Unit on 23/05/2022,,,,,,,,
INDIGO-POJ-0069,source1,Portugal Inovacao Social and MAZE (communication via emails in April 2020),,,,,,,,
INDIGO-POJ-0069,sourcehackandlearn2021,Hack and Learn - March 2021,,,,,,,,
INDIGO-POJ-0069,source3,Email correspondence with Portugal Social Innovation Unit on 23/05/2022,,,,,,,,
INDIGO-POJ-0070,source1,Portugal Inovacao Social and MAZE (communication via emails in April 2020),Email correspondence,,,,,,,
INDIGO-POJ-0070,sourcehackandlearn2021,Hack and Learn - March 2021,,,,,,,,
INDIGO-POJ-0070,source3,Email correspondence with Portugal Social Innovation Unit on 23/05/2022,Email correspondence,,,,,,,
INDIGO-POJ-0071,source1,Portugal Inovacao Social and MAZE (communication via emails in April 2020),,,,,,,,
INDIGO-POJ-0071,sourcehackandlearn2021,Hack and Learn - March 2021,,,,,,,,
INDIGO-POJ-0071,source3,Email correspondence with Portugal Social Innovation Unit on 23/05/2022,,,,,,,,
INDIGO-POJ-0072,source1,Portugal Inovacao Social and MAZE (communication via emails in April 2020),Email correspondence,,,,,,,
INDIGO-POJ-0072,sourcehackandlearn2021,Hack and Learn - March 2021,,,,,,,,
INDIGO-POJ-0072,source3,Email correspondence with Portugal Social Innovation Unit on 23/05/2022,Email correspondence,,,,,,,
INDIGO-POJ-0073,source1,Bertha Centre. Case Study. Accessed 24/07/2019 https://www.gsb.uct.ac.za/PO-BC-early-childhood-dev-social-impact-bond,,,,,,,,
INDIGO-POJ-0073,source2,Transfer Payment Agreement Page 3,,,,,,,,
INDIGO-POJ-0073,source3,Addendum to Transfer Payment Agreement between the Western Cape Government and Impact Bond Innovation. 29/04/2019. P.5.,,,,,,,,
INDIGO-POJ-0073,source4,Bertha Centre. Case Study. Accessed 24/07/2019 https://www.gsb.uct.ac.za/PO-BC-early-childhood-dev-social-impact-bond. Currency converted from USD to ZAR at the exchange rate 13.8986,,,,,,,,
INDIGO-POJ-0073,source6,Addendum to Transfer Payment Agreement between the Western Cape Government and Impact Bond Innovation. 29/04/2019. Pp.5-6.,,,,,,,,
INDIGO-POJ-0073,sourcehackandlearn2021-08,Hack and Learn - August 2021,,,,,,,,
INDIGO-POJ-0073,source10,"Intellidex report: The Impact Bond Innovation Fund - The risks and returns of innovative finance for social change. A part of the Intellidex SIBs research series. April, 2021. ",Report,,https://tutuwafoundation.org/standimg/StandardBankGroup/tutuwa/images/Intellidex-the-IBIF-SIB-report.pdf,,,,,
INDIGO-POJ-0073,source11,GO Lab case study: South Africa Impact Bond Innovation Fund,Website,,https://golab.bsg.ox.ac.uk/knowledge-bank/case-studies/south-africa-impact-bond-innovation-fund/,,,,,
INDIGO-POJ-0074,source1,Bonds4Jobs Prospectus. P.Cover Page.,,,,,,,,
INDIGO-POJ-0074,source2,Bonds4Jobs Prospectus. P.15.,,,,,,,,
INDIGO-POJ-0074,source3,Communication with Bonds4Jobs & Harambee. 25-07-2019,,,,,,,,
INDIGO-POJ-0074,source4,Bonds4Jobs Prospectus. P.1.,,,,,,,,
INDIGO-POJ-0074,source5,Bonds4Jobs Prospectus. P.38 and email communication with Lerato Lehoko (20 Nov 2019),,,,,,,,
INDIGO-POJ-0074,source6,Bonds4Jobs Prospectus. P.38,,,,,,,,
INDIGO-POJ-0074,source9,Bonds4Jobs Prospectus. P.15 and email communication with Lerato Lehoko (20 Nov 2019),,,,,,,,
INDIGO-POJ-0074,source10,Bonds4Jobs Prospectus. P.37.,,,,,,,,
INDIGO-POJ-0074,sourcehackandlearn2021-08,Hack and Learn - August 2021,,,,,,,,
INDIGO-POJ-0074,source13,"Intellidex report: The Bonds4Jobs Social Impact Bond - The risks and returns of innovative finance for social change. A part of the Intellidex SIBs research series. April, 2021. ",,,https://tutuwafoundation.org/standimg/StandardBankGroup/tutuwa/images/Intellidex-the-B4J-SIB-report.pdf,,,,,
INDIGO-POJ-0074,source14,"Intellidex report: The Bonds4Jobs Social Impact Bond - The risks and returns of innovative finance for social change. A part of the Intellidex SIBs research series. April, 2021. Page 29.",,,https://tutuwafoundation.org/standimg/StandardBankGroup/tutuwa/images/Intellidex-the-B4J-SIB-report.pdf,,,,,
INDIGO-POJ-0075,source1,Social Finance website (accessed: 26.07.2019) https://sibdatabase.socialfinance.org.uk,,,,,,,,
INDIGO-POJ-0075,source2,AVPN website (accessed: 26.07.2019) https://avpn.asia/organisation/pan-impact-korea/,,,,,,,,
INDIGO-POJ-0075,source3,Email correspondence with Jihun Lee from Korea Social Innovation Finance Co. on 12/11/2020.,,,,,,,,
INDIGO-POJ-0075,source4,Korea Social Innovation Finance,Website,,http://kosif.kr/page/?pid=business_1,,,,,
INDIGO-POJ-0076,source1,Seoul SIB Fact Sheet (accessed: 26.07.2019) http://panimpact.kr/seoul-sib-fact-sheet/,,,,,,,,
INDIGO-POJ-0076,source2,Social Finance website (accessed: 26.07.2019) https://sibdatabase.socialfinance.org.uk,,,,,,,,
INDIGO-POJ-0078,source1,"CEO (Caritas Bern) press release, ""Pilot project for the integration of provisionally admitted and recognized refugee into the labor market"" (16/06/2015, accessed July 2019), https://www.gef.be.ch/gef/de/index/direktion/ueber-die-direktion/aktuell.assetref/dam/documents/portal/Medienmitteilungen/de/2015/06/2015-06-16-referat--babst-caritas-de.pdf - p.1",,,,,,,,
INDIGO-POJ-0078,source2,"Presentation by the Health and Welfare Directorate Canton Bern on the Caritas Perspective SIB (06/2015; accessed July 2019), https://www.gef.be.ch/gef/de/index/direktion/ueber-die-direktion/aktuell.assetref/dam/documents/portal/Medienmitteilungen/de/2015/06/2015-06-16-folien-zu-referaten.pdf - p. 12",,,,,,,,
INDIGO-POJ-0078,source3,"Interim evaluation, ""Zwischenbericht Evaluation Social Impact Bond 2015 - 2020, Pilotprojekt Supported Employment für Flüchtlinge und Vorläufig Aufgenommene «Caritas Perspektive» "" (J.Guggisberg, P. Stettler BASS AG, June 2018; accessed July 2019), https://www.buerobass.ch/fileadmin/Files/2018/GEF_2018_SocialImpactBond_Zwischenbericht.pdf - p. 1",,,,,,,,
INDIGO-POJ-0078,source4,"Presentation by the Health and Welfare Directorate Canton Bern on the Caritas Perspective SIB (06/2015; accessed July 2019), https://www.gef.be.ch/gef/de/index/direktion/ueber-die-direktion/aktuell.assetref/dam/documents/portal/Medienmitteilungen/de/2015/06/2015-06-16-folien-zu-referaten.pdf - p. 11",,,,,,,,
INDIGO-POJ-0078,source5,"Interim evaluation, ""Zwischenbericht Evaluation Social Impact Bond 2015 - 2020, Pilotprojekt Supported Employment für Flüchtlinge und Vorläufig Aufgenommene «Caritas Perspektive» "" (J.Guggisberg, P. Stettler BASS AG, June 2018; accessed July 2019), https://www.buerobass.ch/fileadmin/Files/2018/GEF_2018_SocialImpactBond_Zwischenbericht.pdf - p. 5",,,,,,,,
INDIGO-POJ-0078,source6,"Fokusbern.com, Introduction to Caritas Perspective SIB, https://www.fokus-bern.ch/projekte/social-impact-bond/; Social Finance Impact Bond Global Database project webpage (accessed 25/07/2019), https://sibdatabase.socialfinance.org.uk/?project_id=111",,,,,,,,
INDIGO-POJ-0078,source7,"Social Finance Impact Bond Global Database project webpage (accessed 25/07/2019), https://sibdatabase.socialfinance.org.uk/?project_id=111",,,,,,,,
INDIGO-POJ-0078,source8,"Presentation by the Health and Welfare Directorate Canton Bern on the Caritas Perspective SIB (06/2015; accessed July 2019), https://www.gef.be.ch/gef/de/index/direktion/ueber-die-direktion/aktuell.assetref/dam/documents/portal/Medienmitteilungen/de/2015/06/2015-06-16-folien-zu-referaten.pdf - p. 13",,,,,,,,
INDIGO-POJ-0078,source9,"Interim evaluation, ""Zwischenbericht Evaluation Social Impact Bond 2015 - 2020, Pilotprojekt Supported Employment für Flüchtlinge und Vorläufig Aufgenommene «Caritas Perspektive» "" (J.Guggisberg, P. Stettler BASS AG, June 2018; accessed July 2019), https://www.buerobass.ch/fileadmin/Files/2018/GEF_2018_SocialImpactBond_Zwischenbericht.pdf - p. 22",,,,,,,,
INDIGO-POJ-0078,source10,"Interim evaluation, ""Zwischenbericht Evaluation Social Impact Bond 2015 - 2020, Pilotprojekt Supported Employment für Flüchtlinge und Vorläufig Aufgenommene «Caritas Perspektive» "" (J.Guggisberg, P. Stettler BASS AG, June 2018; accessed July 2019), https://www.buerobass.ch/fileadmin/Files/2018/GEF_2018_SocialImpactBond_Zwischenbericht.pdf - p.1",,,,,,,,
INDIGO-POJ-0078,source11,"Interim evaluation, ""Zwischenbericht Evaluation Social Impact Bond 2015 - 2020, Pilotprojekt Supported Employment für Flüchtlinge und Vorläufig Aufgenommene «Caritas Perspektive» "" (J.Guggisberg, P. Stettler BASS AG, June 2018; accessed July 2019), https://www.buerobass.ch/fileadmin/Files/2018/GEF_2018_SocialImpactBond_Zwischenbericht.pdf - p.1 - 2",,,,,,,,
INDIGO-POJ-0078,source12,"1) Translation of the interim evaluation ""Zwischenbericht Evaluation Social Impact Bond 2015 - 2020, Pilotprojekt Supported Employment für Flüchtlinge und Vorläufig Aufgenommene «Caritas Perspektive» "" (J.Guggisberg, P. Stettler BASS AG, June 2018) (accessed 24 July 2019) https://www.buerobass.ch/fileadmin/Files/2018/GEF_2018_SocialImpactBond_Zwischenbericht.pdf 2) Translation of the interim evaluation ""Zwischenbericht Evaluation Social Impact Bond 2015 - 2020, Pilotprojekt Supported Employment für Flüchtlinge und Vorläufig Aufgenommene «Caritas Perspektive» "" (J.Guggisberg, P. Stettler BASS AG, June 2018), page I (accessed 24 July 2019) https://www.buerobass.ch/fileadmin/Files/2018/GEF_2018_SocialImpactBond_Zwischenbericht.pdf 3) Translation of a presentation by the Health and Welfare Directorate Canton Bern on the ""Caritas Perspective SIB"" (June 2015), page 14 ( accessed 24 June 2019) https://www.gef.be.ch/gef/de/index/direktion/ueber-die-direktion/aktuell.assetref/dam/documents/portal/Medienmitteilungen/de/2015/06/2015-06-16-folien-zu-referaten.pdf 4) Translation of a presentation by the Health and Welfare Directorate Canton Bern on the ""Caritas Perspective SIB"" (June 2015), page 15-17 ( accessed 24 June 2019) https://www.gef.be.ch/gef/de/index/direktion/ueber-die-direktion/aktuell.assetref/dam/documents/portal/Medienmitteilungen/de/2015/06/2015-06-16-folien-zu-referaten.pdf",,,,,,,,
INDIGO-POJ-0079,source1,"Aleksandra Lebedeva, Senior Managing Director of VEB.RF",,,,,,,,
INDIGO-POJ-0080,source1,"""'ATMAH' programme to increase employment opportunities for People of Determination in Abu Dhabi,"" (WAM Emirates News Agency, 14 April 2020), http://www.wam.ae/en/details/1395302836663",,,,,,,,
INDIGO-POJ-0080,source2,"Dr Chih Hoong Sin, Director, Traverse together with Ma'an, the Authority for Social Contribution, Abu Dhabi",,,,,,,,
INDIGO-POJ-0081,source1,"Social Ventures Australia Newpin Queensland Social Benefit Bond Information Memorandum, 2017 p. 1 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-SBB-Information-Memorandum-web.pdf",,,,,,,,
INDIGO-POJ-0081,source2,"Social Ventures Australia Newpin Queensland Social Benefit Bond Information Memorandum, 2017 p. 7 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-SBB-Information-Memorandum-web.pdf",,,,,,,,
INDIGO-POJ-0081,source3,"Newping Queensland Social Benefit Bnd SBB Deed Poll and Purchase Deed, 2017, p. 7 accessed on 27/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-SBB-Deed-Poll-and-Purchase-Deed.pdf",,,,,,,,
INDIGO-POJ-0081,source4,"Social Ventures Australia Newpin Queensland Social Benefit Bond Information Memorandum, 2017 p. 11 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-SBB-Information-Memorandum-web.pdf",,,,,,,,
INDIGO-POJ-0081,source5,"Social Ventures Australia Newpin Queensland Social Benefit Bond Information Memorandum, 2017 p. 4 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-SBB-Information-Memorandum-web.pdf",,,,,,,,
INDIGO-POJ-0081,source6,"Social Ventures Australia Newpin Queensland Social Benefit Bond Investor Report, 2018 p. 6 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-Annual-Report.pdf",,,,,,,,
INDIGO-POJ-0081,source7,"Interpretation of timeline in Social Ventures Australia Newpin Queensland Social Benefit Bond Information Memorandum, 2017 p. 13 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-SBB-Information-Memorandum-web.pdf",,,,,,,,
INDIGO-POJ-0081,source8,"Social Ventures Australia Newpin Queensland Social Benefit Bond Information Memorandum, 2017 p. 20 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-SBB-Information-Memorandum-web.pdf",,,,,,,,
INDIGO-POJ-0081,source9,"Industry Moves Newpin Queensland Social Benefit Bond 2017, accessed on 27/09/2017 at https://industrymoves.com/products-services/newpin-queensland-social-benefit-bond-newpin-qld-sbb",,,,,,,,
INDIGO-POJ-0081,source10,"Social Ventures Australia Newpin Queensland Social Benefit Bond Information Memorandum, 2017 p. 6 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-SBB-Information-Memorandum-web.pdf",,,,,,,,
INDIGO-POJ-0081,source11,"Queenland Treasury, Queensland Social Benefit Bond, 2018 accessed on 26/07/2019 at https://www.treasury.qld.gov.au/programs-and-policies/social-benefit-bonds-pilot-program/newpin-queensland-social-benefit-bond/  and Social Ventures Australia Newpin Queensland Social Benefit Bond Information Memorandum, 2017 p. 11 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-SBB-Information-Memorandum-web.pdf",,,,,,,,
INDIGO-POJ-0081,source12,"Social Ventures Australia Newpin Queensland Social Benefit Bond Information Memorandum, 2017 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-SBB-Information-Memorandum-web.pdf",,,,,,,,
INDIGO-POJ-0081,source13,"Social Ventures Australia Newpin Queensland Social Benefit Bond Investor Report, 2018 p. 4 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-Annual-Report.pdf",,,,,,,,
INDIGO-POJ-0081,source14,"Social Ventures Australia Newpin Queensland Social Benefit Bond Information Memorandum, 2017 p. 5 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-SBB-Information-Memorandum-web.pdf
Social Ventures Australia Newpin Queensland Social Benefit Bond Information Memorandum, 2017 p. 11 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Newpin-Qld-SBB-Information-Memorandum-web.pdf",,,,,,,,
INDIGO-POJ-0081,sourcehackandlearn2021-08,Hack and Learn - August 2021,,,,,,,,
INDIGO-POJ-0081,source15,Social Ventures Australia Newpin Queensland Social Benefit Bond Information accessed on 05/10/2021 at https://www.socialventures.com.au/work/newpin-qld-sbb/,,,,,,,,
INDIGO-POJ-0082,source1,United Way of Salt Lake High Quality Preschool Program fact sheet (2013) - p.1 accessed on 25/07/2019 at https://hceconomics.uchicago.edu/sites/default/files/file_uploads/SIB-RBFFact_SheetUtahVersion.pdf,,,,,,,,
INDIGO-POJ-0082,source2,United Way of Salt Lake press release (2013) - p. 1 accessed on 25/07/2019 at https://guinncenter.org/wp-content/uploads/2014/01/Results-Bases-Financing.pdf,,,,,,,,
INDIGO-POJ-0082,source3,"Institute for Child Success program summary (Golden et al., February 2015) p. 13 accessed on 25/07/2019 at https://thrivewa.org/wp-content/uploads/Pay-for-Success-in-the-US-Summaries-of-Financed-Projects.pdf",,,,,,,,
INDIGO-POJ-0082,source4,"Institute for Child Success program summary (Golden et al., February 2015) p. 14 accessed on 25/07/2019 at https://thrivewa.org/wp-content/uploads/Pay-for-Success-in-the-US-Summaries-of-Financed-Projects.pdf",,,,,,,,
INDIGO-POJ-0082,source5,"The Potential and Limitations of Impact Bonds, Brookings, 2015 p. 108 accessed on 22/07/2019 at https://www.brookings.edu/wp-content/uploads/2015/07/impact-bondsweb.pdf",,,,,,,,
INDIGO-POJ-0082,source6,United Way of Salt Lake initial results summary (2015) - p.2 accessed on 25/07/2019 at https://payforsuccess.org/sites/default/files/resource-files/sibfactsheet10-1-2015finaledits-4_0.pdf,,,,,,,,
INDIGO-POJ-0082,source7,"GuideStar, https://www.guidestar.org",,,,,,,,
INDIGO-POJ-0082,source8,Own calculation from United Way of Salt Lake initial results summary (2015) - p.2 accessed on 25/07/2019 at https://payforsuccess.org/sites/default/files/resource-files/sibfactsheet10-1-2015finaledits-4_0.pdf,,,,,,,,
INDIGO-POJ-0082,source9,United Way of Salt Lake High Quality Preschool Program fact sheet (2013) - p.1,,,,,,,,
INDIGO-POJ-0082,source10,United Way of Salt Lake High Quality Preschool Program fact sheet (2013) - p.2,,,,,,,,
INDIGO-POJ-0082,source11,"Institute for Child Success program summary (Golden et al., February 2015) - p.2",,,,,,,,
INDIGO-POJ-0082,source12,United Way of Salt Lake initial results summary (2015) - p.1 Accessed on 25/07/2019 at https://payforsuccess.org/sites/default/files/resource-files/sibfactsheet10-1-2015finaledits-4_0.pdf,,,,,,,,
INDIGO-POJ-0082,source13,"Warrier, A., ""Pay for Success: Lessons Learned from Salt Lake and NC"" (2017) - p. 59 onwards accessed on 25/07/2019 at https://pdfs.semanticscholar.org/5d20/2a1680af6601ab5fdb1eb80a31fae7529c18.pdf?_ga=2.100099741.266488314.1564053965-1934992093.1564053965",,,,,,,,
INDIGO-POJ-0082,source14,"Investing in Our Future:
The Utah High-Quality Preschool Program",Report,,https://sorensonimpactinstitute.com/project/the-utah-high-quality-preschool-program/,,,,,
INDIGO-POJ-0083,source1,New York City Government ABLE fact sheet (2012) - p. 1,,,,,,,,
INDIGO-POJ-0083,source2,New York City Government ABLE fact sheet (2012) - p. 1 Accessed on 25/07/2019 at http://www.nyc.gov/html/om/pdf/2012/sib_fact_sheet.pdf,,,,,,,,
INDIGO-POJ-0083,source3,"NYC Department of Probation, N.D. accessed on 25/07/2019 at http://www.nyc.gov/html/ymi/downloads/pdf/able.pdf",,,,,,,,
INDIGO-POJ-0083,source4,Social Ventures Australia ABLE case study (2014) Accessed on 25/07/2019 at https://www.socialventures.com.au/assets/RikersIsland_SIB.pdf,,,,,,,,
INDIGO-POJ-0083,source5,"MDRC Social Impact Bond Project at Rikers Island, N.D. Accessed on 25/07/2019 at https://www.mdrc.org/project/social-impact-bond-project-rikers-island#overview",,,,,,,,
INDIGO-POJ-0083,source6,"GuideStar, https://www.guidestar.org",,,,,,,,
INDIGO-POJ-0083,source7,New York City Government ABLE fact sheet (2012) - p. 2,,,,,,,,
INDIGO-POJ-0083,source9,"The Vera Institute of Justice Final Impact Evaluation Report (Parsons et al., 2019) - p. 6",,,,,,,,
INDIGO-POJ-0083,source10,"MDRC Rikers SIB report (Rudd et al., 2013) - p. 15 accessed on 25/07/2019 at https://www.mdrc.org/sites/default/files/Financing_Promising_evidence-Based_Programs_FR.pdf",,,,,,,,
INDIGO-POJ-0083,source11,"""The Rikers SIB: Failure? Success? Puzzlement?""",,,,,,,,
INDIGO-POJ-0083,source12,"MDRC Rikers SIB report (Rudd et al., 2013) - p. 16 accessed on 25/07/2019 at https://www.mdrc.org/sites/default/files/Financing_Promising_evidence-Based_Programs_FR.pdf",,,,,,,,
INDIGO-POJ-0083,source13,"The Vera Institute of Justice Final Impact Evaluation Report (Parsons et al., 2016) - p. 14 accessed on 25/07/2019 at https://storage.googleapis.com/vera-web-assets/downloads/Publications/rikers-adolescent-behavioral-learning-experience-evaluation/legacy_downloads/rikers-adolescent-behavioral-learning-experience-evaluation.pdf",,,,,,,,
INDIGO-POJ-0083,source14,"The Vera Institute of Justice Final Impact Evaluation Report (Parsons et al., 2016) - p. 6 accessed on 25/07/2019 at https://storage.googleapis.com/vera-web-assets/downloads/Publications/rikers-adolescent-behavioral-learning-experience-evaluation/legacy_downloads/rikers-adolescent-behavioral-learning-experience-evaluation.pdf",,,,,,,,
